review_date,source,source_job_id,title,employer,location,postcode,region,geo_cluster,geography_status,geography_reason,salary_text,employment_type,posted_date,closing_date,source_url,apply_url,description,classification,hc_tier,classification_reason,switchability,slice_status,publish_eligible,duplicate_check,duplicate_job_id,manual_action,final_decision,factual_fingerprint
2026-09-12,NHS Jobs,5595689,Pathology Programme Manager,Northumbria Healthcare NHS Foundation Trust,"North Tyneside, NE29 8NH",,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,£66582.00 to £77368.00,Fixed-Term,2026-09-12T09:04:26.515711083,2026-09-25,https://beta.jobs.nhs.uk/candidate/jobadvert/C9319-26-0843,https://beta.jobs.nhs.uk/candidate/jobadvert/C9319-26-0843,,POSS,,Unseen NHS Administrative & Clerical title; registry review required,BRIDGEABLE,UNREGISTERED,NO,NO_MATCH,,,POSS,b978a64208474717f9bef3e4c8a04aeda8b5b8f564206df029fa36cbeb9eea23
2026-09-12,NHS Jobs,5595984,Receptionist/Administrator,Operose Health,"London, SW5 0PT",,London,London,ROUTED,Exact locality match in geo_lookup.xlsx,£25838.00,Permanent,2026-09-12T03:24:39.308045443,2026-09-28,https://beta.jobs.nhs.uk/candidate/jobadvert/E0327-26-0475,https://beta.jobs.nhs.uk/candidate/jobadvert/E0327-26-0475,"Job title: Receptionist/Administrator Location: Earls Court Health and Wellbeing Centre Salary: £25,838.00 Hours: 37.5 (Monday-Friday; Various shifts between 07:45-18:30) Help us to deliver great primary care by improving access, outcomes and patient experience. At Operose Health, we deliver local primary care, at scale. It is our purpose to improve access, outcomes and patient experience. Our colleagues live our values and are empowered to be the best they can be for our patients, and each other because we CARE. Caring We listen and through compassion, understanding and a willingness to keep an open mind, we support and empower people to have a healthier future. Ambitious Through determination and our passion for transforming the patient experience, we continue to redefine and revolutionise the future of primary care. Resourceful Creative, agile, with a devotion for lifelong learning, we go above and beyond to improve the quality of our services. Excellence We strive to do the best we can do and be the best we can be for our patients, employees and NHS partners. Main Responsibilities: As a valued member of the Operose Health team, your key duties will include: Responding to patient queries and liaising with the wider primary care team as well as managing appointment requests, signposting patients to our range of services and maintaining patient records and confidentiality. Emailing, scanning and coding clinical correspondence. Processing prescriptions requests. Utilising other information systems to support efficient workflow processes. As a valued member of the Operose Health team, your key duties will include: Responding to patient queries and liaising with the wider primary care team as well as managing appointment requests, signposting patients to our range of services and maintaining patient records and confidentiality. Emailing, scanning and coding clinical correspondence. Processing prescriptions requests. Utilising other information systems to support efficient workflow processes. Reception or customer care experience is essential as well as an excellent communicator both spoken and written. Must have basic PC skills such as Word, Excel and email. Able to work within processes, procedures and maintain confidentiality and data security. Previous experience of working in the NHS is welcome but not essential. 27 days annual leave plus bank holidays pro rata. Access to our bespoke learning management system and annual formative clinical assessments to support competency development. The benefits of working with an at scale provider of primary care means that we have lots of opportunities for our colleagues to specialise and develop. Job title: Receptionist/Administrator Location: Earls Court Health and Wellbeing Centre Salary: £25,838.00 Hours: 37.5 (Monday-Friday; Various shifts between 07:45-18:30) Help us to deliver great primary care by improving access, outcomes and patient experience. At Operose Health, we delivery local primary care, at scale. It is our purpose to improve access, outcomes and patient experience. Our colleagues live our values and our empowered to be the best they can be for our patients, and each other because we CARE. Caring We listen and through compassion, understanding and a willingness to keep an open mind, we support and empower people to have a healthier future. Ambitious Through determination and our passion for transforming the patient experience, we continue to redefine and revolutionise the future of primary care. Resourceful Creative, agile, with a devotion for lifelong learning, we go above and beyond to improve the quality of our services. Excellence We strive to do the best we can do and be the best we can be for our patients, employees and NHS partners. As a valued member of the Operose Health team, your key duties will include: Responding to patient queries and liaising with the wider primary care team as well as managing appointment requests, signposting patients to our range of services and maintaining patient records and confidentiality. Emailing, scanning and coding clinical correspondence. Processing prescriptions requests. Utilising other information systems to support efficient workflow processes. What we look for in new colleagues: Reception or customer care experience is essential as well as an excellent communicator both spoken and written. Must have basic PC skills such as Word, Excel and email. Able to work within processes, procedures and maintain confidently and data security. Previous experience of working in the NHS is welcome but not essential. How well support you: 27 days annual leave plus bank holidays pro rata. Access to our bespoke learning management system and annual formative clinical assessments to support competency development. The benefits of working with an at scale provider of primary care means that we lots of opportunities for our colleagues to specialise and develop. Car benefit scheme specialising in electric vehicles. Cycle to work scheme. Travel season ticket loans Discount cards. Employee wellbeing services including free yoga videos and employee wellbeing app.",HC,A,NHS admin/service title registry,OPEN_SWITCH,LIVE,YES,NO_MATCH,,,SELECTED,e663604c2bb26e8583065571277382238e4b2b606590045261604a86dbd94922
2026-09-12,NHS Jobs,5595976,Senior Management Accountant,Agincare,"Poole &amp; Portland, BH15 2PG",,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,Negotiable,Permanent,2026-09-12T03:23:59.575286367,2026-10-11,https://beta.jobs.nhs.uk/candidate/jobadvert/L0014-26-1699,https://beta.jobs.nhs.uk/candidate/jobadvert/L0014-26-1699,,POSS,,Unseen NHS Administrative & Clerical title; registry review required,BRIDGEABLE,UNREGISTERED,NO,NO_MATCH,,,POSS,6c30891fe51f021b755d6857bf26977442d74e511bbe7349c9f92c010d8b858a
2026-09-12,NHS Jobs,5595983,Receptionist / Care navigator,Dingle Park Practice,"Liverpool, L8 6QP",,Merseyside - Liverpool,Merseyside - Liverpool,ROUTED,Exact locality match in geo_lookup.xlsx,£13.00 to £14.50,Bank,2026-09-11T23:10:48.272002374,2026-09-18,https://beta.jobs.nhs.uk/candidate/jobadvert/A4243-26-0006,https://beta.jobs.nhs.uk/candidate/jobadvert/A4243-26-0006,,HC,B,NHS admin/service title registry,OPEN_SWITCH,LIVE,YES,NO_MATCH,,,SELECTED,370313fe56ed820dc6f994bffe1857b5ea86acd3662781cd627e23b1caf5568a
2026-09-12,NHS Jobs,5595789,Advanced Application Support Analyst,Royal Berkshire NHS Foundation Trust,"Reading, RG1 5UZ",,Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,£49387.00 to £56515.00,Permanent,2026-09-11T20:40:37.952022183,2026-09-24,https://beta.jobs.nhs.uk/candidate/jobadvert/C9193-26-0603,https://beta.jobs.nhs.uk/candidate/jobadvert/C9193-26-0603,,POSS,,Unseen NHS Administrative & Clerical title; registry review required,BRIDGEABLE,LIVE,YES,NO_MATCH,,,POSS,6f673ee84ce50115d1292dc7bc5daa10778807157c56255d3635a1e0cbf4fa84
2026-09-12,NHS Jobs,5595967,PCN Care Co-ordinator (Admin/Data),Tadley Medical Partnership,"Tadley, RG26 4ER, Basingstoke, RG25 3DU, Newbury, RG20 5QX, Tadley, RG26 3AN, Basingstoke, RG23 7HZ",,Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,£27132.00 to £28338.00,Permanent,2026-09-11T20:29:50.600656290,2026-09-27,https://beta.jobs.nhs.uk/candidate/jobadvert/A2237-26-0008,https://beta.jobs.nhs.uk/candidate/jobadvert/A2237-26-0008,,POSS,,Unseen NHS Administrative & Clerical title; registry review required,BRIDGEABLE,LIVE,YES,NO_MATCH,,,POSS,1400b378198f9f6da21f67ebc63c7ddd615be22e7b6e89ca7c51ef0de852820e
2026-09-12,NHS Jobs,5595814,Care Manager,Avery Healthcare Group Ltd.,"Sunninghill, SL5 9PR",,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,£45000.00 to £50000.00,Permanent,2026-09-11T18:54:32.909464505,2026-10-02,https://beta.jobs.nhs.uk/candidate/jobadvert/L0034-26-3801,https://beta.jobs.nhs.uk/candidate/jobadvert/L0034-26-3801,,POSS,,Unseen NHS Administrative & Clerical title; registry review required,BRIDGEABLE,UNREGISTERED,NO,NO_MATCH,,,POSS,dbd1561ede181cdf360db636a89e7e8d44b77e0a8195df56b8ed17ec330fdba6
2026-09-12,NHS Jobs,5595583,Care Home Administrator,Avery Healthcare Group Ltd.,"Knowle, B93 9LQ",,West Midlands - Birmingham & Solihull,West Midlands - Birmingham & Solihull,ROUTED,Exact locality match in geo_lookup.xlsx,£20020.00,Permanent,2026-09-11T18:54:32.029410401,2026-10-02,https://beta.jobs.nhs.uk/candidate/jobadvert/L0034-26-3800,https://beta.jobs.nhs.uk/candidate/jobadvert/L0034-26-3800,"At Avery Healthcare, we are all about supporting the people who care for our residents. We know how hard our teams work, and were here to celebrate and support you every step of the way. When you join us, youll be making a positive impact on residents lives every day your compassion and dedication truly make a difference. Were committed to helping you grow in a caring, supportive environment, with opportunities to learn and develop throughout your career. And as part of our close-knit team, youll experience a culture that values respect, compassion, and a shared commitment to exceptional care. Were now looking for a warm, enthusiastic, and dedicated individual to join our award-winning team as a Care Home Administrator at Birchmere House Care Home in Solihull. If this sounds like the place for you, wed love to hear from you! ABOUT THE ROLE Your focus as Care Home Administrator will be to support the General Manager, staff, and residents in administrative tasks to ensure the smooth and efficient management of the Home. Other responsibilities will include: Being responsible f At Avery Healthcare, support for those caring for residents is a priority. Teams are celebrated and supported every step of the way. The impactful role of Care Home Administrator involves making a positive difference daily in residents' lives. A supportive environment for learning and development is provided, with a culture emphasizing respect, compassion, and commitment to exceptional care. Responsibilities include assisting the General Manager in administrative tasks, data collection for invoicing, follow-up on fee payment, payroll return collation, clerical support, and staff recruitment coordination. Applicants are expected to embody values of care, support, honesty, respect, and accountability. Package Description: At Avery Healthcare, we are all about supporting the people who care for our residents. We know how hard our teams work, and were here to celebrate and support you every step of the way.When you join us, youll be making a positive impact on residents lives every day your compassion and dedication truly make a difference. Were committed to helping you grow in a caring, supportive environment, with opportunities to learn and develop throughout your career. And as part of our close-knit team, youll experience a culture that values respect, compassion, and a shared commitment to exceptional care.Were now looking for a warm, enthusiastic, and dedicated individual to join our award-winning team as a Care Home Administrator at Birchmere House Care Home in Solihull. If this sounds like the place for you, wed love to hear from you! ABOUT THE ROLE Your focus as Care Home Administrator will be to support the General Manager, staff, and residents in administrative tasks to ensure the smooth and efficient management of the Home. Other responsibilities will include: Being responsible for the collection of data to enable invoicing to be carried out by Head Office. Following up non-payment of fees immediately if they fall into arrears and report to Head Office any areas of concern for outstanding debtors. Collating information and complete the weekly/monthly payroll return. Providing clerical support to the General Manager and when appropriate other staff. Coordinating the recruitment and onboarding process of staff within the home. ABOUT YOU To be successful in your application, you will live our values of caring, supportive, honest, respectful and accountable in all that you do. Our ideal candidate must: Have a minimum of three years of business administration experience. Be confident working with computers. Possess effective interpersonal skills and professional telephone manner. Be able to prioritise your own workload. Establish good relationships with all staff within the company. ABOUT AVERY At Avery, were not just one of the UKs largest providers of luxury elderly care homes were a place where people love to work. We believe that the later years of life should be as enriching as any other, and were passionate about creating meaningful experiences for our residents and our team alike. With our vision of ""creating meaningful lives together,"" we proudly offer exceptional care across our growing network of over 100 homes, building a supportive and inspiring environment where employees feel valued and empowered every day. Join us and see why Avery is the preferred choice for residents and team members alike. Please note this role will require: A DBS Disclosure check, the cost of which will be met by Avery Healthcare. Proof of eligibility to work in the UK.",HC,B,NHS admin/service title registry,OPEN_SWITCH,LIVE,YES,NO_MATCH,,,SELECTED,dc0853af392c6b3c1e7efba620940d18c396e59bcfd28e4fb4e39d148463aeae
2026-09-12,NHS Jobs,5595530,Community Health Services Transformation and Digital Delivery Lead,East London NHS Foundation Trust,"London / Bedfordshire, E1 8DE",,,,UNRESOLVED,No exact factual location match in geo_lookup.xlsx,£66274.00 to £73496.00,Fixed-Term,2026-09-11T18:28:17.738458329,2026-09-20,https://beta.jobs.nhs.uk/candidate/jobadvert/C9363-26-1082,https://beta.jobs.nhs.uk/candidate/jobadvert/C9363-26-1082,,POSS,,Unseen NHS Administrative & Clerical title; registry review required,BRIDGEABLE,UNREGISTERED,NO,NO_MATCH,,,POSS,51973cfdccbade7e2dcd0908f312c12aa2ba4c20d537aee6063d9f002e03e902
2026-09-12,NHS Jobs,5594951,Team Administrator,East London NHS Foundation Trust,"Bedford, MK40 2NT",,Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,£28392.00 to £31157.00,Permanent,2026-09-11T18:27:29.574864893,2026-09-20,https://beta.jobs.nhs.uk/candidate/jobadvert/C9363-26-1079,https://beta.jobs.nhs.uk/candidate/jobadvert/C9363-26-1079,"We are seeking to recruit a Team Administrator to support the Operations Manager and the multi-disciplinary Clinical team, you should possess outstanding written and verbal communication skills. You'll need to be a team player while also having the ability to take initiative and work independently. Your role will involve providing essential administrative support to ensure the team or unit operates smoothly and efficiently. You will collaborate closely with the Team Administration Lead to deliver responsive administrative services to the team. Additionally, you'll be responsible for developing your own administration systems and offering day-to-day support. This position requires you to take initiative and communicate effectively with a diverse range of professionals while maintaining client confidentiality at all times.To support the Operations Manager and the multi-disciplinary Clinical team, you should possess outstanding written and verbal communication skills. You'll need to be a team player while also having the ability to take initiative and work independently. Your role will involve providing essential administrative support to ensure the team or unit operates smoothly and efficiently. You will collaborate closely with the Team Administration Lead to deliver responsive administrative services to the team. Additionally, you'll be responsible for developing your own administration systems and offering day-to-day support. This position requires you to take initiative and communicate effectively with a diverse range of professionals while maintaining client confidentiality at all times. For a detailed description of the main duties, please refer to the attached Job Description and Person Specification. For a detailed job description and main responsibilities of the role please refer to the attached Job Description and Person Specification.",HC,A,NHS admin/service title registry,OPEN_SWITCH,LIVE,YES,NO_MATCH,,,SELECTED,6f3178c305f6576e7e3588f5a68a79c5a386ce31b481bfb3d2764ae6e14688ca
