title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,nejobs_duplicate_check,contract_type,working_pattern,ontap_geography,source_job_id,source_url,manual_action,final_decision
Administrator,"£24,454 per annum, pro rata (…",Age UK County Durham,Age UK County Durham (derived…,04/09/2026,30/09/2026 12:00,HC,clear transferable title: administrator,No plausible JobG8 match,,,,No,Permanent,Part time,North East - County Durham & Darlington/Hartlepool,301544,https://www.northeastjobs.org.uk/job/Administrator/301544,,SELECTED
Passenger Transport Administration As…,"Grade 4 (£26,427 - £27,709)",Durham County Council,"Corten House, Durham",04/09/2026,16/09/2026,HC,clear transferable title: administration assistant,No plausible JobG8 match,,,,No,Please See Advert Text,Full time,North East - County Durham & Darlington/Hartlepool,301481,https://www.northeastjobs.org.uk/job/Passenger_Transport_Administration_Assistant/301481,,SELECTED
Project Administrator,"£24,454 per annum, pro rata (…",Age UK County Durham,Age UK County Durham (derived…,04/09/2026,30/09/2026 12:00,HC,clear transferable title: administrator,No plausible JobG8 match,,,,No,Permanent,Part time,North East - County Durham & Darlington/Hartlepool,301543,https://www.northeastjobs.org.uk/job/Project_Administrator/301543,,SELECTED
School Secretary,"£26,403 - £28,598 pro rata (p…",Durham County Council,"Spennymoor, DL16 7JB",04/09/2026,21/09/2026 12:00,HC,clear transferable title: secretary,No plausible JobG8 match,,,,No,Term-time only (Permanent),Full time - term time,North East - County Durham & Darlington/Hartlepool,301524,https://www.northeastjobs.org.uk/job/School_Secretary/301524,,SELECTED
Administration Assistant Level 3,"£27,274 - £28,153 per annum p…",Newcastle City Council,"Sir Charles Parsons School, W…",04/09/2026,18/09/2026 12:00,HC,clear transferable title: administration assistant,No plausible JobG8 match,,,,No,Fixed Term,Part time - term time plus specified days,"North East - Tyneside, Wearside & Northumberland",301513,https://www.northeastjobs.org.uk/job/Administration_Assistant_Level_3/301513,,SELECTED
Administrative Assistant - Level 1,"£25,185 per annum pro rata (A…",Newcastle City Council,"Lemington Riverside, Rokeby S…",02/09/2026,25/09/2026 12:00,HC,clear transferable title: administrative assistant,No plausible JobG8 match,,,,No,Fixed Term,Part time - term time plus specified days,"North East - Tyneside, Wearside & Northumberland",301338,https://www.northeastjobs.org.uk/job/Administrative_Assistant_Level_1/301338,,SELECTED
Administrative Assistant Level 3,"£26,403 - £27,254 per annum.…",Gosforth Group,"Gosforth Academy, Great North…",27/08/2026,10/09/2026 09:00,HC,clear transferable title: administrative assistant,No plausible JobG8 match,,,,No,Term-time only (Permanent),Full time - term time,"North East - Tyneside, Wearside & Northumberland",301207,https://www.northeastjobs.org.uk/job/Administrative_Assistant_Level_3/301207,,SELECTED
Business Support Assistant - Children…,"£26,427 - £26,847 per annum p…",Together for Children - Su…,Sunderland,02/09/2026,20/09/2026,HC,clear transferable title: business support assistant,No plausible JobG8 match,,,,No,Permanent,Part time,"North East - Tyneside, Wearside & Northumberland",301377,https://www.northeastjobs.org.uk/job/Business_Support_Assistant_Children_s_Social_Care/301377,,SELECTED
Business Support Assistant in Careers…,"Grade 2 (SCP 5-6) £26,427 - £…",Together for Children - Su…,Sunderland,07/09/2026,20/09/2026,HC,clear transferable title: business support assistant,No plausible JobG8 match,,,,No,Fixed Term,Part time,"North East - Tyneside, Wearside & Northumberland",301568,https://www.northeastjobs.org.uk/job/Business_Support_Assistant_in_Careers_NEET/301568,,SELECTED
Business Support Officer,"Grade 3 (SCP 7-11 £27,274 - £…",AIM High Academy Trust,Dubmire Primary Academy / Aim…,07/09/2026,18/09/2026 09:00,HC,clear transferable title: business support officer,No plausible JobG8 match,,,,No,Please See Advert Text,Please see advert text,"North East - Tyneside, Wearside & Northumberland",301610,https://www.northeastjobs.org.uk/job/Business_Support_Officer/301610,,SELECTED
Customer Service Advisor x 2 Posts,"£29,542 pa",South Tyneside Council,South Tyneside Council (deriv…,03/09/2026,17/09/2026 12:00,HC,clear transferable title: customer service advisor,No plausible JobG8 match,,,,No,Permanent,Full time,"North East - Tyneside, Wearside & Northumberland",301438,https://www.northeastjobs.org.uk/job/Customer_Service_Advisor_x_2_Posts/301438,,SELECTED
DBS01122/26 - Business Administrator…,"£24,551",North Tyneside Council,Longbenton High School Hailsh…,17/08/2026,14/09/2026 12:00,HC,clear transferable title: administrator,No plausible JobG8 match,,,,No,Please See Advert Text,Please see advert text,"North East - Tyneside, Wearside & Northumberland",300866,https://www.northeastjobs.org.uk/job/DBS01122_26_Business_Administrator_Apprentice_Longbenton_High_School/300866,,SELECTED
DBS01125/26 - Receptionist - Norham H…,"£25,583 - £25,989 pro rata",North Tyneside Council,North Tyneside Council (deriv…,26/08/2026,15/09/2026 12:00,HC,clear transferable title: receptionist,No plausible JobG8 match,,,,No,Permanent,Part time - term time plus specified days,"North East - Tyneside, Wearside & Northumberland",301184,https://www.northeastjobs.org.uk/job/DBS01125_26_Receptionist_Norham_High_School/301184,,SELECTED
