final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Admissions and Attendance Officer,"£23,113.00 - £25,620.00 Annually (Actual) L4",St Matthew's Primary School,"Luton, East of England, LU2 0NJ",2026-07-09,2026-08-31T23:59:00+01:00,HC,Clear admin/service title: attendance officer,No plausible JobG8 match,,,,['FULL_TIME'],Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,luton,UNREGISTERED,NO,admissions-and-attendance-officer-st-matthew-s-primary-school-luton-bedfordshire,https://teaching-vacancies.service.gov.uk/jobs/admissions-and-attendance-officer-st-matthew-s-primary-school-luton-bedfordshire,,,a73062f8e3c52bf597d25201bca57a1ccb1c71adc8e8b37a594de8460d6c1a07,"[{""page"": 16, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Clerical Assistant & Attendance Administrator,"£19,812.00 - £20,447.00 Annually (Actual) NJC Grade 3A (Points 5-7)",Arnold Academy,"Bedford, East of England, MK45 4JZ",2026-07-22,2026-09-01T08:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,bedford,UNREGISTERED,NO,clerical-assistant-attendance-administrator-arnold-academy,https://teaching-vacancies.service.gov.uk/jobs/clerical-assistant-attendance-administrator-arnold-academy,,,b87df8eb56b1c558f241443c4304f406868998194760bc77a41c423b33c8d71d,"[{""page"": 20, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Finance & Trips Admin Assistant,"£21,971.86 Annually (Actual)",Sharnbrook Academy,"Bedford, East of England, MK44 1JL",2026-08-14,2026-08-31T09:00:00+01:00,HC,Clear admin/service title: admin assistant,No plausible JobG8 match,,,,['FULL_TIME'],Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,bedford,UNREGISTERED,NO,finance-trips-admin-assistant-sharnbrook-academy-bedford-bedfordshire,https://teaching-vacancies.service.gov.uk/jobs/finance-trips-admin-assistant-sharnbrook-academy-bedford-bedfordshire,,,b7a6a8f61f991c40680f0796ce1b6e220681dbffbceeab353402865031d0893c,"[{""page"": 13, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,HR Administrator,"£16,006.00 - £17,349.00 Annually (Actual) L4 pts 9 - 14 pro rata'd",Chiltern Learning Trust,"Luton, LU3 3QN",2026-08-04,2026-09-04T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,luton,UNREGISTERED,NO,hr-administrator-86d9fe65-1a75-4481-9155-0c7b4d9c9eb0,https://teaching-vacancies.service.gov.uk/jobs/hr-administrator-86d9fe65-1a75-4481-9155-0c7b4d9c9eb0,,,85f0264700aecd0c51b3098c63a44b54cada2a60ead2b7a68f239186eb418b7d,"[{""page"": 33, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Receptionist and Clerical Assistant,"£25,495.00 - £25,893.00 Annually (FTE) AS 4-5 FTE £25,495-£25,893 pro rata £24,393-£24,774",The Chalk Hills Academy,"Luton, East of England, LU4 0NE",2026-07-21,2026-09-01T08:00:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['FULL_TIME'],Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,luton,UNREGISTERED,NO,receptionist-and-clerical-assistant-066aa8a5-43e7-4649-9eec-a1fcf6c1d684,https://teaching-vacancies.service.gov.uk/jobs/receptionist-and-clerical-assistant-066aa8a5-43e7-4649-9eec-a1fcf6c1d684,,,7a62451b24157a7f3c42a19917d0ca4e101ba309e9847e3b16d11bde67b7b126,"[{""page"": 21, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
POSS,Governance Professional (Clerk),£16.62 - £17.85 Hourly,St Thomas Catholic Academies Trust,"Luton, LU4 0PF",2026-08-16,2026-08-24T12:00:00+01:00,POSS,Borderline school administration title: governance professional,No plausible JobG8 match,,,,['PART_TIME'],Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,luton,UNREGISTERED,NO,governance-professional-clerk-st-thomas-catholic-academies-trust,https://teaching-vacancies.service.gov.uk/jobs/governance-professional-clerk-st-thomas-catholic-academies-trust,,,ee63a6c9156f4aad7722b73ae7a6a37c843eeaceeb07ce17e674452f09f16cff,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Business Manager,"£40,172.00 - £45,401.00 Annually (Actual) AS 29-34 £40,172-£45,401 dependent on experience",The Chalk Hills Academy,"Luton, East of England, LU4 0NE",2026-07-17,2026-09-01T08:00:00+01:00,HARD_PASS,"Manager title salary ceiling £45,401 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,luton,UNREGISTERED,NO,business-manager-the-chalk-hills-academy-luton-bedfordshire,https://teaching-vacancies.service.gov.uk/jobs/business-manager-the-chalk-hills-academy-luton-bedfordshire,,,998eb0060bacea6ebcbad09a893aa959c290839e7f2cae0c9b349aa0129ce82e,"[{""page"": 20, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Data and Exams Assistant,"£21,588.00 - £21,588.00 Annually (Actual) NJC Point 11 | £28,143 FTE | £21,588 actual salary (pay award pending)",Queensbury Academy,"Dunstable, East of England, LU6 3BU",2026-08-20,2026-09-16T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,dunstable,UNREGISTERED,NO,data-and-exams-assistant-queensbury-academy,https://teaching-vacancies.service.gov.uk/jobs/data-and-exams-assistant-queensbury-academy,,,f93d6d7650dc84ee6c66e957938d9c3983502ecf1d3ff65f99223329edf24ca0,"[{""page"": 49, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance Officer,"£23,113.00 - £25,620.00 Annually (Actual) L4",St Matthew's Primary School,"Luton, East of England, LU2 0NJ",2026-08-09,2026-09-06T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,luton,UNREGISTERED,NO,finance-officer-st-matthew-s-primary-school,https://teaching-vacancies.service.gov.uk/jobs/finance-officer-st-matthew-s-primary-school,,,c7c8d864bffb3797587881dcf39a9951fcd60fad277f3c1b75b7ca7ddba8757d,"[{""page"": 37, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,HR & Recruitment Co-ordinator,"£30,515.00 - £32,046.00 Annually (FTE)",Bedford Inclusive Learning And Training Trust,"Bedford, MK42 7AB",2026-08-06,2026-08-23T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Bedfordshire,Bedfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,bedford,UNREGISTERED,NO,hr-recruitment-co-ordinator-bedford-inclusive-learning-and-training-trust-bedford-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/hr-recruitment-co-ordinator-bedford-inclusive-learning-and-training-trust-bedford-not-recorded,,,c0810e45560ac02ae7865e9ef50d251830b36e3fef727c94de751ccfac58a14f,"[{""page"": 1, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
