final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Attendance & Admissions Administrator (Maternity Cover),"£22,858.00 - £23,559.00 Annually (Actual)",Montem Academy,"Slough, South East, SL1 2TE",2026-09-03,2026-10-30T12:00:00+00:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,slough,LIVE,YES,attendance-admissions-administrator-maternity-cover,https://teaching-vacancies.service.gov.uk/jobs/attendance-admissions-administrator-maternity-cover,,,695c2e7898f7f3b1edb675e7c368e8236e10b8d22b9cb7258e5d59b239daad74,"[{""page"": 39, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Attendance Officer and Administration Coordinator - Kendrick School,"£23,548 to £28,198 Per year",Kendrick School,"Reading, South East, RG1 5BN",2026-09-03,2026-09-20T23:59:00+01:00,HC,Clear admin/service title: attendance officer,No plausible JobG8 match,,,,['FULL_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,attendance-officer-and-administration-coordinator-kendrick-school,https://teaching-vacancies.service.gov.uk/jobs/attendance-officer-and-administration-coordinator-kendrick-school,,,d6981f750621c042e19c58978840f5e605b9091d74da79f6d018fabfc35baa2d,"[{""page"": 32, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Inclusion Administrator,"£18,666.00 Annually (Actual) Grade 4 SCP 7 working 31 hours per week plus 2 INSET days.",Maiden Erlegh School,"Reading, South East, RG6 7HS",2026-06-16,2026-09-04T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,inclusion-administrator-maiden-erlegh-school-reading-berkshire,https://teaching-vacancies.service.gov.uk/jobs/inclusion-administrator-maiden-erlegh-school-reading-berkshire,,,29771f0f5f04ee1e39585cca8d0dfa342155dbb762f8d32abe36fe8dda21e420,"[{""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,SEND Administrator Officer,"£30,279.00 Annually (FTE) This post is for 30 hours per week, term time only, plus 5 Inset Days, starting salary £30,279pa FTE with pay progression linked to local government SCP salary sale 13-17 (actual pro-rata starting salary £21,116pa)",The WREN School,"Reading, South East, RG30 2BB",2026-08-26,2026-09-10T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,send-administrator-officer-the-wren-school,https://teaching-vacancies.service.gov.uk/jobs/send-administrator-officer-the-wren-school,,,6948df6c5211721cf3cb7956bd23375f2dc4922476bd7ed86ca27e72a7db46fa,"[{""page"": 4, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Welfare Assistant & Administrator,"£22,274.00 - £22,957.00 Annually (Actual)",James Elliman Academy,"Slough, South East, SL2 5BA",2026-07-30,2026-09-30T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,slough,LIVE,YES,welfare-assistant-administrator-james-elliman-academy,https://teaching-vacancies.service.gov.uk/jobs/welfare-assistant-administrator-james-elliman-academy,,,6404079a30d8438bad9c65b1638355e59eeacaff44b2fbe26d8eeb7ce0630a28,"[{""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Trust Governance Professional,"£13,121.00 - £14,383.00 Annually (Actual) Grade 7 SCP 25-29",The Keys Academy Trust,"Reading, RG6 1EY",2026-06-05,2026-09-07T09:00:00+01:00,POSS,Borderline school administration title: governance professional,No plausible JobG8 match,,,,['PART_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,trust-governance-professional-the-keys-academy-trust-reading-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/trust-governance-professional-the-keys-academy-trust-reading-not-recorded,,,de3ed1f296bb446a719dbbee6da7605933e1df202fc518a8f9bca3e541fcc4f7,"[{""page"": 8, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Casual Lettings Assistant,£15.60 Hourly,Maiden Erlegh Chiltern Edge,"Reading, South East, RG4 9LN",2026-08-17,2026-09-13T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,casual-lettings-assistant-maiden-erlegh-chiltern-edge,https://teaching-vacancies.service.gov.uk/jobs/casual-lettings-assistant-maiden-erlegh-chiltern-edge,,,c48448adaf9d729130b3ac9aab3b4dcd200b42a61a1749fef77a756162a0bd80,"[{""page"": 21, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Customer Relations Manager,"£33,143.00 - £44,075.00 Annually (Actual) Full-Time Equivalent:",Reading School,"Reading, South East, RG1 5LW",2026-07-21,2026-09-21T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £44,075 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,customer-relations-manager,https://teaching-vacancies.service.gov.uk/jobs/customer-relations-manager,,,3441a434ebcfecffe15ce754ef6e4e4a24f57e04b7e7c6b1b2406f32b5b194b9,"[{""page"": 35, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance Officer - Addington School,"£23,292 to £24,826 plus £1,357 SEN Allowance = £24,649 to £26,183 Per year",Addington School,"Reading, South East, RG5 3EU",2026-08-24,2026-09-06T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,finance-officer-addington-school,https://teaching-vacancies.service.gov.uk/jobs/finance-officer-addington-school,,,6f1f3a56fd778a6233e93a2f587e38bd356cb3e301a36f0bce5704c94c940bc5,"[{""page"": 3, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,HR & Recruitment Officer,"£32,069.00 - £33,985.00 Annually (Actual)",The Park Federation Academy Trust,"Slough, SL2 5BA",2026-08-17,2026-09-30T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,slough,LIVE,YES,hr-recruitment-officer-the-park-federation-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/hr-recruitment-officer-the-park-federation-academy-trust,,,e47e9cbbf1e4c65156dbcb3078bd83c8ababcef7e093e24966976829c1e0f5d6,"[{""page"": 38, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
