final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Admin and Business Support & Receptionist,"£25,583 to £25,989 FTE",Twerton Infant School,"Bath, South West, BA2 1QR",2026-07-24,2026-08-13T12:00:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,"['PART_TIME', 'TEMPORARY']",Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bath,UNREGISTERED,NO,admin-and-business-support-receptionist,https://teaching-vacancies.service.gov.uk/jobs/admin-and-business-support-receptionist,,,46775ef464b62dcc4d82ddb5145f88514501f09948d967d9149deaf4c4d1d8fb,"[{""page"": 18, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,Attendance Administrator,"CSET 10 £26,403 FTE, £15,217 prorated",Marlwood School,"Bristol, South West, BS35 3LA",2026-08-06,2026-09-01T09:00:59+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,UNREGISTERED,NO,attendance-administrator-marlwood-school,https://teaching-vacancies.service.gov.uk/jobs/attendance-administrator-marlwood-school,,,f3a4bf4abd173dfb4d8cc2797977d1885a92bc7d6e8c2dbfea1fc2d08ec8ee06,"[{""page"": 1, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Digital Marketing Administrator,"£25,989.00 - £26,403.00 Annually (FTE)",Filton Avenue Primary School,"Bristol, South West, BS7 9RP",2026-07-20,2026-09-01T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,UNREGISTERED,NO,digital-marketing-administrator-filton-avenue-primary-school,https://teaching-vacancies.service.gov.uk/jobs/digital-marketing-administrator-filton-avenue-primary-school,,,70c29abe8caf12fd84911969c88a07acaf02b5adfa868d4eea9992311b4a74d6,"[{""page"": 31, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
HARD_PASS,AI & Digital Communications and Marketing Apprentice,"£16,500 in year one, rising to national minimum wage after 12 months.",Amplify Education,"Bristol, BS13 0RF",2026-07-10,2026-08-16T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,UNREGISTERED,NO,ai-digital-communications-and-marketing-apprentice,https://teaching-vacancies.service.gov.uk/jobs/ai-digital-communications-and-marketing-apprentice,,,afb96002b84a69a3fe29542dba6c356373308dc045e7d0367810abc0051b9ddd,"[{""page"": 45, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance Assistant,"£29,812 - £32,138",Cabot Learning Federation,"Bristol, BS15 4JT",2026-08-03,2026-08-23T23:59:59+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,UNREGISTERED,NO,finance-assistant-cabot-learning-federation-bristol-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/finance-assistant-cabot-learning-federation-bristol-not-recorded,,,8ec7f6239d945225df5995e10dfd484a8189e6d14d5944ee9ab717464dc4c3af,"[{""page"": 6, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Governance Clerk,"N14 – N17 (1.0FTE £29,540-£31,022) Pro-rata: 7 hours per week 0.19FTE: £5,588-£5,869 per annum",Amplify Education,"Bristol, BS13 0RF",2026-07-15,2026-08-31T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,UNREGISTERED,NO,governance-clerk-amplify-education-bristol-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/governance-clerk-amplify-education-bristol-not-recorded,,,f36a5852aade32e8b98dad94774c1785cf8e0977ed30f9126cc05a481eec7ccb,"[{""page"": 41, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,School Operations Manager,"Starting salary £37,563",Lyde Green Primary School,"Bristol, South West, BS16 7LH",2026-07-24,2026-08-10T09:00:59+01:00,HARD_PASS,"Manager title salary ceiling £37,563 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,UNREGISTERED,NO,school-operations-manager-lyde-green-primary-school,https://teaching-vacancies.service.gov.uk/jobs/school-operations-manager-lyde-green-primary-school,,,518e988fc4475a11055151cc3b16997af19d00862802dc79240132c00495124c,"[{""page"": 16, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Senior Trust Finance Manager,"£47,181.00 - £50,269.00 Annually (FTE)",The Cardinal Newman Catholic Educational Trust,"Bristol, BS5 0TJ",2026-07-01,2026-08-30T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £50,269 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,UNREGISTERED,NO,senior-trust-finance-manager,https://teaching-vacancies.service.gov.uk/jobs/senior-trust-finance-manager,,,0105768bfa187594ac441a04a44588fb9ef2be379260e7c6d8c4a7e6e22cf275,"[{""page"": 50, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Senior Trust Finance Manager,"£47,181.00 - £50,269.00 Annually (FTE)",St Bernard's Catholic Primary School,"BRISTOL, South West, BS11 9TU",2026-07-21,2026-08-30T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £50,269 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,UNREGISTERED,NO,senior-trust-finance-manager-st-bernard-s-catholic-primary-school,https://teaching-vacancies.service.gov.uk/jobs/senior-trust-finance-manager-st-bernard-s-catholic-primary-school,,,ced6ac082149713f131ff51a1185071e7f827fdbfb32bce63be254433604046b,"[{""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 27, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Senior Trust Finance Manager,"£47,181.00 - £50,269.00 Annually (FTE)",St Bonaventure's Catholic Primary School,"Bristol, South West, BS7 8HP",2026-07-21,2026-08-30T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £50,269 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,UNREGISTERED,NO,senior-trust-finance-manager-st-bonaventure-s-catholic-primary-school,https://teaching-vacancies.service.gov.uk/jobs/senior-trust-finance-manager-st-bonaventure-s-catholic-primary-school,,,f93853a50d0dd8cd9187ec49bb6c739a80fbb97c7c1075459fcd242e9a74b4c1,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Senior Trust Finance Manager,"£47,181.00 - £50,269.00 Annually (FTE)",St Joseph's Catholic Primary School,"Portishead, South West, BS20 6QB",2026-07-21,2026-08-30T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £50,269 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,portishead,UNREGISTERED,NO,senior-trust-finance-manager-st-joseph-s-catholic-primary-school,https://teaching-vacancies.service.gov.uk/jobs/senior-trust-finance-manager-st-joseph-s-catholic-primary-school,,,778b71da52aacb44db7394686d053638343ad8c985324bf8c50001c77a04db57,"[{""page"": 27, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
