final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administration Assistant,"Bucks Pay Range 2 - £23,666 pro rata / £26,522 FTE",Amersham School,"Amersham, South East, HP7 9HH",2026-09-09,2026-09-18T23:59:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['FULL_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,amersham,LIVE,YES,administration-assistant-amersham-school,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-amersham-school,,,3ca339484fe8c75a632385c1e61b7aed091c74017a77c8e5d192861ce11e1c50,"[{""page"": 18, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 19, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administrator - Prison Education - HMP Downview,"Up to £26,884.00 per annum",Milton Keynes College,"Milton Keynes, South East, MK6 5LP",2026-09-08,2026-09-22T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,milton keynes,LIVE,YES,administrator-prison-education-hmp-downview,https://teaching-vacancies.service.gov.uk/jobs/administrator-prison-education-hmp-downview,,,d57094edaea195ae9f44ecc6fbe64f01f4ce426f354e1c636aca908ecf44db43,"[{""page"": 32, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,School Administrator,"£29,114.00 - £31,230.00 Annually (FTE) Actual salary for hours worked will be £24,690.91 to £26,485.44",Chiltern Way Academy Trust,"Aylesbury, HP22 6NL",2026-09-11,2026-09-27T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,aylesbury,LIVE,YES,school-administrator-chiltern-way-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/school-administrator-chiltern-way-academy-trust,,,58fb09222f8729c0b063ffc41747b4c03e7b491125ec2f21db31b0c9ad56dcf1,"[{""page"": 44, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,School Receptionist,"£27,709.00 - £29,071.00 Annually (FTE)",Caroline Haslett Primary School,"MILTON KEYNES, South East, MK5 7DF",2026-09-07,2026-09-16T12:00:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['PART_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,milton keynes,LIVE,YES,school-receptionist-caroline-haslett-primary-school,https://teaching-vacancies.service.gov.uk/jobs/school-receptionist-caroline-haslett-primary-school,,,fcf851f3d20f92da0cc26d3df635c8e08d7929ba198320d6545ef1e63c4a8f56,"[{""page"": 11, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
HARD_PASS,Administration Assistant,,Stanton School,"MILTON KEYNES, South East, MK13 7BE",2026-09-04,2026-09-21T12:00:00+01:00,HARD_PASS,Missing salary or pay scale,No plausible JobG8 match,,,,['PART_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,milton keynes,LIVE,YES,administration-assistant-stanton-school,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-stanton-school,,,97d58d91d6404a5545418db9bffda2027385aec88b437d5576fd0a6e130ef832,"[{""page"": 29, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Data and Timetabling Manager,"£35,669.27 Annually (Actual) Grade G1 FTE £37, 280 actual salary £35,669.27",Glebe Farm School,"Milton Keynes, South East, MK17 8XY",2026-09-11,2026-09-28T09:00:00+01:00,HARD_PASS,"Manager title salary ceiling £35,669 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,milton keynes,LIVE,YES,data-and-timetabling-manager,https://teaching-vacancies.service.gov.uk/jobs/data-and-timetabling-manager,,,0e76de9d6758e0390639bf718554050d86e8a1a9a136c3b5642638d6e9edd726,"[{""page"": 46, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Exams and Data Team Leader,"Salary: Grade 7 £ 36,362- £39,862 pa (actual)",Shenley Brook End School,"Milton Keynes, South East, MK5 7ZT",2026-09-04,2026-09-18T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,milton keynes,LIVE,YES,exams-and-data-team-leader,https://teaching-vacancies.service.gov.uk/jobs/exams-and-data-team-leader,,,46f1a83e77e853cf9e227ab768d9c9ac0b25448df5a9a335cb6b2419eb0e967e,"[{""page"": 15, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance Manager,"£36,363.00 - £39,862.00 Annually (Actual)",5 Dimensions Trust,"Milton Keynes, MK8 0PT",2026-09-02,2026-09-16T12:00:00+01:00,HARD_PASS,"Manager title salary ceiling £39,862 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,milton keynes,LIVE,YES,finance-manager-5-dimensions-trust,https://teaching-vacancies.service.gov.uk/jobs/finance-manager-5-dimensions-trust,,,5e451d7334058a91486e21347438ed99e66fe9b179be4a79bceed1db1341ee54,"[{""page"": 10, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,HR & Training Officer,"£35,412.00 - £39,152.00 Annually (FTE)",Kingsbridge Educational Trust,"Milton Keynes, MK10 9JQ",2026-08-21,2026-09-20T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,milton keynes,LIVE,YES,hr-training-officer,https://teaching-vacancies.service.gov.uk/jobs/hr-training-officer,,,e136f800a90b1cb695092334e2c3aa56a2264091ef040e409e388d748a5fdb90,"[{""page"": 20, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Lettings & Community Officer,"£27,693.00 - £31,021.00 Annually (FTE) Grade 5 £27,693 - £31,021 p.a. FTE, £25,879 - £28,989 actual",5 Dimensions Trust,"Milton Keynes, MK8 0PT",2026-09-03,2026-09-21T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Buckinghamshire,Buckinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,milton keynes,LIVE,YES,lettings-community-officer-5-dimensions-trust-milton-keynes-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/lettings-community-officer-5-dimensions-trust-milton-keynes-not-recorded,,,4c03058fcbfbaba2523fe7a49fc64037155902c81cfe44f0252d940e996b5b04,"[{""page"": 24, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
