final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administrative Assistant,"£11,608.00 Annually (Actual) Meridian Trust Support Staff Pay Scale (Grade 3)",Lantern Community Primary School,"Ely, East of England, CB6 2WL",2026-09-02,2026-09-29T09:00:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,ely,LIVE,YES,administrative-assistant-df6b12e7-31c1-4ffd-8f6e-62dfb6e08db8,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-df6b12e7-31c1-4ffd-8f6e-62dfb6e08db8,,,04cfb913ee0d8366bd9ee0e9ed0d6d5428732898eb03a9878c4ae67e7594f1d4,"[{""page"": 14, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Administrator,"£14,802.00 Annually (Actual)",Arthur Mellows Village College,"Peterborough, East of England, PE6 7JX",2026-09-03,2026-09-28T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,peterborough,LIVE,YES,administrator-47bb26eb-71c2-4cc0-b838-989640ff07ed,https://teaching-vacancies.service.gov.uk/jobs/administrator-47bb26eb-71c2-4cc0-b838-989640ff07ed,,,0212aa390ec9bb1b4c002dfc941ea22561703a264fc3612bcff2b493ad321cc5,"[{""page"": 7, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Administrator (SEN and Careers),"Scale D, Pt 6-7, £13.47 - £13.68/hour (FTE £25,989 - £26,403 per year, based on a 37hr week) Please note this salary will be paid pro rata",Marshland High School,"Wisbech, East of England, PE14 7HA",2026-09-24,2026-10-02T01:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,wisbech,LIVE,YES,administrator-sen-and-careers,https://teaching-vacancies.service.gov.uk/jobs/administrator-sen-and-careers,,,a532b87bc4ec57d9a94f8df129c99e35a68dd84d6ee2d3869c1708574c220811,"[{""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Finance / Admin Assistant,"£24,404.00 Annually (FTE)",Priory Junior School,"St Neots, East of England, PE19 1TF",2026-08-23,2026-10-30T23:59:00+00:00,HC,Clear admin/service title: admin assistant,No plausible JobG8 match,,,,['PART_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,st neots,LIVE,YES,finance-admin-assistant-priory-junior-school-st-neots-cambridgeshire,https://teaching-vacancies.service.gov.uk/jobs/finance-admin-assistant-priory-junior-school-st-neots-cambridgeshire,,,a7d35a6df112fcb3397a9d4a9d0d705eafc25504853d7f61cf1b8e5230453caf,"[{""page"": 57, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Senior Office Administrator,"Point 4-5, £26,016 - £26,427 FTE",Pathfinder CofE Primary School,"Cambridge, East of England, CB24 3DS",2026-09-18,2026-09-28T12:00:00+01:00,HC,"Clear admin/service title: administrator, office administrator",No plausible JobG8 match,,,,['PART_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,cambridge,LIVE,YES,senior-office-administrator-pathfinder-cofe-primary-school-cambridge-cambridgeshire,https://teaching-vacancies.service.gov.uk/jobs/senior-office-administrator-pathfinder-cofe-primary-school-cambridge-cambridgeshire,,,fc2409b3461ec8750c9112cbd4ce01874db69953cec628c6eb776cc8810162a1,"[{""page"": 11, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 1, ""query"": ""office"", ""route"": ""keyword:office""}, {""page"": 2, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,Head of HR Operations,Highly Competitive,United Learning Trust,"Peterborough, PE3 6SB",2026-09-01,2026-09-27T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,peterborough,LIVE,YES,head-of-hr-operations-united-learning-trust,https://teaching-vacancies.service.gov.uk/jobs/head-of-hr-operations-united-learning-trust,,,3a6e282830f573f951d06c3561fe5a1cc97d98b336d31cee8c60adbbd700901f,"[{""page"": 3, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,HR Officer,"£25,906.00 Annually (Actual)",Ely College,"Ely, East of England, CB6 2SH",2026-09-04,2026-10-05T08:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,ely,LIVE,YES,hr-officer-f3f57ca9-847f-4e59-bac2-1caf377a9267,https://teaching-vacancies.service.gov.uk/jobs/hr-officer-f3f57ca9-847f-4e59-bac2-1caf377a9267,,,17c317eee43f36b51dd06980352ea69cd32c51ef2e020f472788051824536cd4,"[{""page"": 32, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Operations Manager,"£40,799.00 - £44,854.00 Annually (Actual)",Longsands Academy,"St Neots, East of England, PE19 1LQ",2026-09-16,2026-10-11T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £44,854 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,st neots,LIVE,YES,operations-manager-9a683a81-163f-46a5-b7f5-732557216d39,https://teaching-vacancies.service.gov.uk/jobs/operations-manager-9a683a81-163f-46a5-b7f5-732557216d39,,,6df0264db43079d6648d463c9551dad4da30e4a3db40274ec1971c4633be7926,"[{""page"": 49, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,PA to Head of School & Administration Manager,"£28,259.00 - £31,324.00 Annually (Actual) £33,119 - £36,581 FTE",Great Haddon Primary School,"Peterborough, East of England, PE7 7DY",2026-09-21,2026-10-07T09:00:00+01:00,HARD_PASS,"Manager title salary ceiling £36,581 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,peterborough,LIVE,YES,pa-to-head-of-school-administration-manager,https://teaching-vacancies.service.gov.uk/jobs/pa-to-head-of-school-administration-manager,,,23a90101264c1522891d07fb54b4136ddf25194e296809b27ecbf6331d948df7,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Reception Services,"£23,210.00 Annually (Actual)",Manor Drive Secondary Academy,"Peterborough, East of England, PE4 7EP",2026-09-22,2026-10-05T10:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Cambridgeshire,Cambridgeshire,ROUTED,Exact locality match in geo_lookup.xlsx,peterborough,LIVE,YES,reception-services-manor-drive-secondary-academy-peterborough-cambridgeshire,https://teaching-vacancies.service.gov.uk/jobs/reception-services-manor-drive-secondary-academy-peterborough-cambridgeshire,,,da46ed24b10eab682031cd41bc485b73716e5a1f26e33ca9ab4b58f23e14b153,"[{""page"": 36, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
