final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administration Assistant,"22,277.00 - 22,629.00",Evergreen School,"Warwick, West Midlands, CV34 5DF",2026-09-15,2026-09-27T23:59:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['FULL_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,warwick,LIVE,YES,administration-assistant-23d0b4b5-47f8-416c-924d-d887471e9a01,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-23d0b4b5-47f8-416c-924d-d887471e9a01,,,8caa1acf91291b485bea3168a9e1f51dea0387ea7c893a74a7d489f8c605312b,"[{""page"": 30, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 31, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administrator,"£25,583.00 - £25,989.00 Annually (FTE) Actual salary £9,039 to £9,183 per annum, working 2 days per week",Studley St Mary's CofE Academy,"Studley, West Midlands, B80 7ND",2026-09-11,2026-09-29T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,studley,LIVE,YES,administrator-studley-st-mary-s-cofe-academy,https://teaching-vacancies.service.gov.uk/jobs/administrator-studley-st-mary-s-cofe-academy,,,9c89a0da9ef60984ffdc9749119453e3c726d91da6ece63e29e5d95fbedfaf58,"[{""page"": 40, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,PA to Principal,"£27,576.00 - £28,984.00 Annually (Actual) Pending pay award",The Queen Elizabeth Academy,"Atherstone, West Midlands, CV9 1LZ",2026-09-15,2026-10-07T09:00:00+01:00,HC,Clear admin/service title: pa to,No plausible JobG8 match,,,,['FULL_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,atherstone,LIVE,YES,pa-to-principal-the-queen-elizabeth-academy-atherstone-warwickshire,https://teaching-vacancies.service.gov.uk/jobs/pa-to-principal-the-queen-elizabeth-academy-atherstone-warwickshire,,,e86c1f86619dfde93ebce74b4329fa408f9f9860a6ddf242d5aaa33c9d3e5fc6,"[{""page"": 57, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,Adminstrator,"NJC05 to NJC06 £25,583.00 to £25,989.00 FTE (£22,675.13 to £23,034.99 Actual)",Henry Hinde School,"Rugby, West Midlands, CV22 7HN",2026-09-15,2026-10-01T00:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['FULL_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,rugby,LIVE,YES,adminstrator,https://teaching-vacancies.service.gov.uk/jobs/adminstrator,,,1a413815561bbc408d42f1afeae50fda1a4505c629c2234e06b16a7e98b5dc8a,"[{""page"": 45, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,Attendance Improvement Officer,"Starting salary for a full-time post £32,578 to £35,570 per annum, starting point depending on experience and qualifications. Actual salary £28,944 to £31,602 per annum based on hours and weeks worked as stated, subject to any continuous service.",Stratford Upon Avon School,"Stratford-upon-Avon, West Midlands, CV37 9DH",2026-09-11,2026-09-30T12:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['FULL_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,stratford upon avon,LIVE,YES,attendance-improvement-officer-stratford-upon-avon-school-stratford-upon-avon-warwickshire,https://teaching-vacancies.service.gov.uk/jobs/attendance-improvement-officer-stratford-upon-avon-school-stratford-upon-avon-warwickshire,,,b2bbb164c03a24a457f40f3235a032176b7fdc57a1b50460dc595cba35da4876,"[{""page"": 43, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,HR Support Apprentice,£8.00 Hourly £8 per hour for the first 12 months followed by national minimum wage for age,Finham Park Multi Academy Trust,"Coventry, CV4 9AP",2026-09-09,2026-09-24T09:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['FULL_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,coventry,LIVE,YES,hr-support-apprentice-finham-park-multi-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/hr-support-apprentice-finham-park-multi-academy-trust,,,8797789afb59d41203e3630500abb6a02d87d0ca52fda037f5fd9d33c7dcf3c4,"[{""page"": 19, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,Trust Finance Officer,"£27,274 to £29,071",Central England Academy Trust,"Nuneaton, CV11 4QH",2026-09-18,2026-10-05T08:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['FULL_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,nuneaton,LIVE,YES,trust-finance-officer-central-england-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/trust-finance-officer-central-england-academy-trust,,,a92775ee5b95846cf1f31e310093aee615b44c30759f8f14ea147b9f5887421b,"[{""page"": 53, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Campaign Manager,"£34,811.00 - £40,444.00 Annually (FTE) Scale I - J (points 17 – 23): £34,811 - £40,444 FTE. Salary dependent on the qualifications, experience and skills of the successful candidate.",Lawrence Sheriff School,"Rugby, West Midlands, CV21 3AG",2026-09-11,2026-09-29T09:00:00+01:00,HARD_PASS,"Manager title salary ceiling £40,444 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,rugby,LIVE,YES,campaign-manager-lawrence-sheriff-school,https://teaching-vacancies.service.gov.uk/jobs/campaign-manager-lawrence-sheriff-school,,,b4cdb37cc0b5f4e02fb97036afc918236fbdc696af00302535c02ba272fa5627,"[{""page"": 40, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,EHCP Co-ordinator,,Discovery Academy,"Nuneaton, West Midlands, CV11 5SS",2026-09-14,2026-09-28T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,nuneaton,LIVE,YES,ehcp-co-ordinator-discovery-academy,https://teaching-vacancies.service.gov.uk/jobs/ehcp-co-ordinator-discovery-academy,,,0b266201c243a6aa55dbe15c9ec6efe13d71266298c8e6d684020101445c45c3,"[{""page"": 38, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,MAT Finance Officer,"Grade 5 - £17,565 - £21,149 per annum",Sidney Stringer Multi Academy Trust,"Coventry, CV1 5LY",2026-09-17,2026-10-01T11:59:59+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],West Midlands - Coventry & Warwickshire,West Midlands - Coventry & Warwickshire,ROUTED,Exact locality match in geo_lookup.xlsx,coventry,LIVE,YES,mat-finance-officer-sidney-stringer-multi-academy-trust-coventry-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/mat-finance-officer-sidney-stringer-multi-academy-trust-coventry-not-recorded,,,0bd12eda7986278702bfe5cb51fe50eaee5229c8d6eaf1d24b4598a5ee0620f4,"[{""page"": 46, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
