final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,[260819] People Team Administrator,"£26,824.00 - £29,540.00 Annually (FTE) NJC Plymouth Grade D Pt 8-14",Reach South Academy Trust,"Plymouth, PL1 4RL",2026-08-19,2026-08-31T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,plymouth,LIVE,YES,260819-people-team-administrator,https://teaching-vacancies.service.gov.uk/jobs/260819-people-team-administrator,,,63801244f23b42a3bcabf6408e8d70cfbd109a767f3f447e30cb86d4f1782812,"[{""page"": 15, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 18, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 5, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,[260820C] Administrator,"£25,185.00 - £26,403.00 Annually (FTE) NJC Grade C Pt 5 - 7",ACE Tiverton Special School,"Tiverton, South West, EX16 5HB",2026-08-20,2026-08-31T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,tiverton,LIVE,YES,260820c-administrator,https://teaching-vacancies.service.gov.uk/jobs/260820c-administrator,,,1df285a129f76ce523da74c8a8e5a5a8d7c6c48deba3b467a5322cd4b0b56526,"[{""page"": 17, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administrative Assistant,"£25,583",Sir John Hunt Community Sports College,"Plymouth, South West, PL5 4AA",2026-07-20,2026-09-03T09:00:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,plymouth,LIVE,YES,administrative-assistant-sir-john-hunt-community-sports-college,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-sir-john-hunt-community-sports-college,,,9274255198beff82066953e7c05d39524f5b5f3f7d286bdcb5be2794d6705d2a,"[{""page"": 30, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Administrative Assistant,"£25,583",Sir John Hunt Community Sports College,"Plymouth, South West, PL5 4AA",2026-07-20,2026-09-03T09:00:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,plymouth,LIVE,YES,administrative-assistant-sir-john-hunt-community-sports-college-plymouth-devon,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-sir-john-hunt-community-sports-college-plymouth-devon,,,9494f7b60d2da66a0947caa74256a0b71e5b87a872415fdb7b4b4c6176deb68e,"[{""page"": 30, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Administrative Assistant,"Between £25,185 and £25,989",St Joseph's Catholic Primary School,"Plymouth, South West, PL1 4DJ",2026-07-20,2026-08-24T09:00:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,plymouth,LIVE,YES,administrative-assistant-st-joseph-s-catholic-primary-school,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-st-joseph-s-catholic-primary-school,,,4cea7f1f9eab10a6cf4a5a83730f89d3095f9cdeb7aa062440398e7895413c16,"[{""page"": 3, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Attendance Officer,"£23,560.00 - £25,119.00 Annually (Actual) NJC Grade D. Range 8 to 12",Okehampton College,"Okehampton, South West, EX20 1PW",2026-07-31,2026-09-09T12:00:00+01:00,HC,Clear admin/service title: attendance officer,No plausible JobG8 match,,,,['PART_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,okehampton,LIVE,YES,attendance-officer-okehampton-college-okehampton-devon,https://teaching-vacancies.service.gov.uk/jobs/attendance-officer-okehampton-college-okehampton-devon,,,1d1911698055c7b815976a7bcebfacce22076b5e63e0d1a6aa4fc8fadd94b9aa,"[{""page"": 44, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Finance & Data Protection Administrator,"£22,889.00 - £24,396.00 Annually (Actual)",St Cuthbert Mayne School,"Torquay, South West, TQ1 4RN",2026-07-20,2026-09-01T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,torquay,LIVE,YES,finance-data-protection-administrator,https://teaching-vacancies.service.gov.uk/jobs/finance-data-protection-administrator,,,211aa822b561a4afacad5d6dbea8d4eba8f57aed8a8bf1c5c716fad1943cb071,"[{""page"": 21, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,People Administrator,"£21,072.00 - £21,407.00 Annually (Actual) NJC Grade C. Range 6 to 7",Dartmoor Multi Academy Trust,"Okehampton, EX20 1PU",2026-08-07,2026-08-28T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,okehampton,LIVE,YES,people-administrator-dartmoor-multi-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/people-administrator-dartmoor-multi-academy-trust,,,4d45811540900ef7dfe9b2b0e5872f32b6fa24723fe6d84c8ffe434b39371981,"[{""page"": 9, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Receptionist / Administrator / First Aid,"£21,911.60 - £22,613.92 Annually (Actual) Grade C SCP 5 - 7 FTE £25,583 - £26,403",Plymstock School,"Plymouth, South West, PL9 9AZ",2026-07-14,2026-08-31T09:00:00+01:00,HC,"Clear admin/service title: administrator, receptionist",No plausible JobG8 match,,,,['FULL_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,plymouth,LIVE,YES,receptionist-administrator-first-aid-plymstock-school,https://teaching-vacancies.service.gov.uk/jobs/receptionist-administrator-first-aid-plymstock-school,,,a1533a5ebb1edbbed5b7e3321ac6ae4d493ca7c541a8f95eed6e2d1d83e2da99,"[{""page"": 13, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,School Administrator,"25,989.00 - 26,403.00 FTE",St Budeaux CofE Primary Academy,"Plymouth, South West, PL5 2DW",2026-08-03,2026-08-28T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Devon,Devon,ROUTED,Exact locality match in geo_lookup.xlsx,plymouth,LIVE,YES,school-administrator-st-budeaux-cofe-primary-academy,https://teaching-vacancies.service.gov.uk/jobs/school-administrator-st-budeaux-cofe-primary-academy,,,bc8203e2aaa643b7511abefe2bae56756f36b93f36bd9354ab96e1be9de56e60,"[{""page"": 8, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
