final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administration Assistant,"£25,583.00 - £26,403.00 Annually (FTE) Actual Salary is £11,051.48 - £11,405.70 for 18.50 hours a week",Lansdowne Infant Academy,"Burton-on-Trent, West Midlands, DE14 2RE",2026-08-24,2026-09-10T09:00:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['PART_TIME'],East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,burton on trent,UNREGISTERED,NO,administration-assistant-lansdowne-infant-academy-burton-on-trent-staffordshire,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-lansdowne-infant-academy-burton-on-trent-staffordshire,,,aed8e03a83391bc1c48b5cdb0c4cf47bd66c4a86f1ebb1189c39e788b56d9a0a,"[{""page"": 22, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administration Assistant Special School,"Grade 5 £25,989-£27,254 FTE Pay Award Pending",Ivy House School,"Derby, East Midlands, DE23 2FS",2026-08-28,2026-09-11T09:00:59+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['FULL_TIME'],East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,derby,UNREGISTERED,NO,administration-assistant-special-school-ivy-house-school,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-special-school-ivy-house-school,,,3be370a440c555a51b8007f8533090c2080b29588f538e2391790e1a5afd8cbb,"[{""page"": 23, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administrative Assistant,"£ 19,328.12 Actual salary per annum",Pear Tree Community Junior School,"Derby, East Midlands, DE23 8PN",2026-08-06,2026-09-04T12:00:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,derby,UNREGISTERED,NO,administrative-assistant-pear-tree-community-junior-school,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-pear-tree-community-junior-school,,,ac3ee6d728da681b84e86e0641d0e27114641be84396880c4d54dfad1fa761f6,"[{""page"": 1, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Exams Officer,"£32,347.00 - £34,317.00 Annually (FTE) Actual Salary £29,249.58 - £31,030.94) Pay award pending",David Nieper Academy,"Alfreton, East Midlands, DE55 7JA",2026-08-19,2026-09-11T09:00:00+01:00,HC,Clear admin/service title: exams officer,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,alfreton,UNREGISTERED,NO,exams-officer-david-nieper-academy,https://teaching-vacancies.service.gov.uk/jobs/exams-officer-david-nieper-academy,,,639bcbecd1d587695e7793913ac03e796593a1dfff23e5746dea9c2c2a1f7e5d,"[{""page"": 23, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""exams officer"", ""route"": ""keyword:exams officer""}]",Teaching Vacancies
SELECTED,Receptionist,"Actual Salary £21,931 - £22,281",Ashby School,"Ashby-De-La-Zouch, East Midlands, LE65 1DT",2026-08-17,2026-09-04T09:00:59+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['FULL_TIME'],East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,ashby de la zouch,UNREGISTERED,NO,receptionist-0873411c-0cfb-4f4d-945d-32e57ea5344f,https://teaching-vacancies.service.gov.uk/jobs/receptionist-0873411c-0cfb-4f4d-945d-32e57ea5344f,,,c3b48f4319cdab74a5d4d0eacfbb6be52ed21a49a2412ad73a9cb9429bdf612d,"[{""page"": 7, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,Receptionist,"£21,993.00 - £23,051.00 Annually (Actual) NJC 3-6 (37 hours per week, 39 weeks per year)",Long Field Spencer Academy,"Melton Mowbray, East Midlands, LE13 0BN",2026-08-27,2026-09-07T12:00:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['PART_TIME'],East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,melton mowbray,UNREGISTERED,NO,receptionist-long-field-spencer-academy,https://teaching-vacancies.service.gov.uk/jobs/receptionist-long-field-spencer-academy,,,68260fdacefe2ce6c7d2835dedce01e4093eb635de13a8539bad130e63ae9270,"[{""page"": 2, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
HARD_PASS,Level 1 Personal Care Assistant,"Grade C SCP 5 - 6 £25,583 - £25,989 (This is the full-time salary. The actual salary will be paid pro rata to hours worked)",Village Primary Academy,"Derby, East Midlands, DE23 8DF",2026-08-17,2026-09-09T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,derby,UNREGISTERED,NO,level-1-personal-care-assistant-village-primary-academy,https://teaching-vacancies.service.gov.uk/jobs/level-1-personal-care-assistant-village-primary-academy,,,07252f42be712d799f4ac4171e28dec4cd54780c8599bfa43bd85af041819712,"[{""page"": 1, ""query"": ""personal assistant"", ""route"": ""keyword:personal assistant""}]",Teaching Vacancies
HARD_PASS,Office Manager,"£27,521.00 - £29,362.00 Annually (Actual) NJC 11-15 - Full Time - 43 weeks per year",Clover Leys Spencer Academy,"Derby, East Midlands, DE24 5AX",2026-07-22,2026-09-04T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £29,362 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,derby,UNREGISTERED,NO,office-manager-37d931fd-e898-412f-bd8e-d53558f8deba,https://teaching-vacancies.service.gov.uk/jobs/office-manager-37d931fd-e898-412f-bd8e-d53558f8deba,,,d8dcc0a1f1698fb00f82b9ccfb82b0d8036a0038267208d590e0902354f28b77,"[{""page"": 9, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,Office Manager,"Grade F (SCP 15-20) £30,024- £32,597 (This is the full-time salary. The actual salary will be paid pro rata to hours worked)",Village Primary Academy,"Derby, East Midlands, DE23 8DF",2026-09-02,2026-09-18T12:00:00+01:00,HARD_PASS,"Manager title salary ceiling £32,597 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,derby,UNREGISTERED,NO,office-manager-village-primary-academy-derby-derbyshire,https://teaching-vacancies.service.gov.uk/jobs/office-manager-village-primary-academy-derby-derbyshire,,,ba884e6b40562420804ea93381b2e3c9e6ba6dd717f73cd25b206be135b51d1b,"[{""page"": 32, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,Senior Contract & Procurement Manager,"£54,000.00 Annually (Actual) Negotiable",Embark Multi Academy Trust,"Derby, DE22 1GB",2026-07-30,2026-09-11T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £54,000 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],East Midlands,East Midlands,ROUTED,Exact locality match in geo_lookup.xlsx,derby,UNREGISTERED,NO,senior-contract-procurement-manager-embark-multi-academy-trust-derby-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/senior-contract-procurement-manager-embark-multi-academy-trust-derby-not-recorded,,,e6238aa6b0eec7da9c3ba01cd1aad56519274250fdb8f4e04ad3f2eec063f302,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
