final_decision,title,salary_text,regional_slice,classification_reason,review_scope,employer,location,posted_date,closing_date,classification,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Admissions Officer,"£24,523.00 - £26,907.00 Annually (Actual) NJC Level 4 Points 8-12",Berkshire / admin_service,Clear admin/service title: admissions officer,REVIEW NOW,The Westgate School,"Slough, South East, SL1 5AH",2026-08-20,2026-09-21T23:59:00+01:00,HC,No plausible JobG8 match,,,,['PART_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,slough,LIVE,YES,admissions-officer-the-westgate-school,https://teaching-vacancies.service.gov.uk/jobs/admissions-officer-the-westgate-school,,,54e3609401caefa3994767441c85b6c84cf6ecd083e9e3cee5a525dd209de92a,"[{""page"": 50, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,General Administrator,"£13,606.99 - £14,503.20 Annually (Actual) NJC Grade 4 SCP 7 to 11",Berkshire / admin_service,Clear admin/service title: administrator,REVIEW NOW,Waingels,"Reading, South East, RG5 4RF",2026-07-16,2026-08-31T12:00:00+01:00,HC,No plausible JobG8 match,,,,['PART_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,general-administrator-waingels,https://teaching-vacancies.service.gov.uk/jobs/general-administrator-waingels,,,1e316ac589c612b8eb9c9c3f02c695289bf5df3503ebe6f1f634e6d10ae3bcc3,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,General Administrator with Silent Study Supervisor,"£14,886.23 - £15,866.69 Annually (Actual) Grade 4 SCP 7 to 11",Berkshire / admin_service,Clear admin/service title: administrator,REVIEW NOW,Waingels,"Reading, South East, RG5 4RF",2026-07-16,2026-08-31T12:00:00+01:00,HC,No plausible JobG8 match,,,,['PART_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,general-administrator-with-silent-study-supervisor,https://teaching-vacancies.service.gov.uk/jobs/general-administrator-with-silent-study-supervisor,,,fbfa259eeba745314df1c2250a6db33d9fbc8dc1851473ed9a63f1a2e978845f,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Inclusion Administrator,"£18,666.00 Annually (Actual) Grade 4 SCP 7 working 31 hours per week plus 2 INSET days.",Berkshire / admin_service,Clear admin/service title: administrator,REVIEW NOW,Maiden Erlegh School,"Reading, South East, RG6 7HS",2026-06-16,2026-09-04T23:59:00+01:00,HC,No plausible JobG8 match,,,,['PART_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,inclusion-administrator-maiden-erlegh-school-reading-berkshire,https://teaching-vacancies.service.gov.uk/jobs/inclusion-administrator-maiden-erlegh-school-reading-berkshire,,,29771f0f5f04ee1e39585cca8d0dfa342155dbb762f8d32abe36fe8dda21e420,"[{""page"": 7, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,SEND Administrator Officer,"£30,279.00 Annually (FTE) This post is for 30 hours per week, term time only, plus 5 Inset Days, starting salary £30,279pa FTE with pay progression linked to local government SCP salary sale 13-17 (actual pro-rata starting salary £21,116pa)",Berkshire / admin_service,Clear admin/service title: administrator,REVIEW NOW,The WREN School,"Reading, South East, RG30 2BB",2026-08-26,2026-09-10T09:00:00+01:00,HC,No plausible JobG8 match,,,,['PART_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,reading,LIVE,YES,send-administrator-officer-the-wren-school,https://teaching-vacancies.service.gov.uk/jobs/send-administrator-officer-the-wren-school,,,6948df6c5211721cf3cb7956bd23375f2dc4922476bd7ed86ca27e72a7db46fa,"[{""page"": 10, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Sixth Form Administrator,"Salary for full time (37 hours per week), term time only is £24,114 which can be pro-rated for part time, depending on hours.",Berkshire / admin_service,Clear admin/service title: administrator,REVIEW NOW,The Windsor Boys' School,"Windsor, South East, SL4 5EH",2026-07-09,2026-08-31T23:59:00+01:00,HC,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,windsor,LIVE,YES,sixth-form-administrator-the-windsor-boys-school,https://teaching-vacancies.service.gov.uk/jobs/sixth-form-administrator-the-windsor-boys-school,,,d67290fae0c54aca400277bea0bdcd9874c77a5c85fcccfa832304aede9026a2,"[{""page"": 8, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Welfare Assistant & Administrator,"£22,274 - £22,957 -",Berkshire / admin_service,Clear admin/service title: administrator,REVIEW NOW,James Elliman Academy,"Slough, South East, SL2 5BA",2026-07-20,2026-08-31T12:00:00+01:00,HC,No plausible JobG8 match,,,,['FULL_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,slough,LIVE,YES,welfare-assistant-administrator,https://teaching-vacancies.service.gov.uk/jobs/welfare-assistant-administrator,,,210d56db4d638bcc27eb26d2d1c35447d61d6e778645825437167ea12568e576,"[{""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Welfare Assistant & Administrator,"£22,274.00 - £22,957.00 Annually (Actual)",Berkshire / admin_service,Clear admin/service title: administrator,REVIEW NOW,James Elliman Academy,"Slough, South East, SL2 5BA",2026-07-30,2026-09-30T12:00:00+01:00,HC,No plausible JobG8 match,,,,['FULL_TIME'],Berkshire,Berkshire,ROUTED,Exact locality match in geo_lookup.xlsx,slough,LIVE,YES,welfare-assistant-administrator-james-elliman-academy,https://teaching-vacancies.service.gov.uk/jobs/welfare-assistant-administrator-james-elliman-academy,,,6404079a30d8438bad9c65b1638355e59eeacaff44b2fbe26d8eeb7ce0630a28,"[{""page"": 12, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Attendance Administrator,"CSET 10 £26,403 FTE, £15,217 prorated",Bristol & Bath / admin_service,Clear admin/service title: administrator,REVIEW NOW,Marlwood School,"Bristol, South West, BS35 3LA",2026-08-06,2026-09-01T09:00:59+01:00,HC,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,LIVE,YES,attendance-administrator-marlwood-school,https://teaching-vacancies.service.gov.uk/jobs/attendance-administrator-marlwood-school,,,f3a4bf4abd173dfb4d8cc2797977d1885a92bc7d6e8c2dbfea1fc2d08ec8ee06,"[{""page"": 14, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 4, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Digital Marketing Administrator,"£25,989.00 - £26,403.00 Annually (FTE)",Bristol & Bath / admin_service,Clear admin/service title: administrator,REVIEW NOW,Filton Avenue Primary School,"Bristol, South West, BS7 9RP",2026-07-20,2026-09-01T09:00:00+01:00,HC,No plausible JobG8 match,,,,['FULL_TIME'],Bristol & Bath,Bristol & Bath,ROUTED,Exact locality match in geo_lookup.xlsx,bristol,LIVE,YES,digital-marketing-administrator-filton-avenue-primary-school,https://teaching-vacancies.service.gov.uk/jobs/digital-marketing-administrator-filton-avenue-primary-school,,,70c29abe8caf12fd84911969c88a07acaf02b5adfa868d4eea9992311b4a74d6,"[{""page"": 4, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
