final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Academy Administrator,"£13,684.00 - £14,350.00 Annually (Actual)",Belfairs Academy,"Leigh-on-Sea, East of England, SS9 3TG",2026-09-17,2026-10-04T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,leigh on sea,LIVE,YES,academy-administrator-belfairs-academy,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-belfairs-academy,,,f26ce8e17425ea2df6277393b923358f357d786a6e7b9f74686b9e57dbbaf18f,"[{""page"": 30, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Administration Assistant,"Pay: Scale 3 (Point 6 - 7) (£26,847 - £27,274) pro rata.",Great Totham Primary School,"Maldon, East of England, CM9 8PN",2026-09-24,2026-10-15T12:00:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['PART_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,maldon,LIVE,YES,administration-assistant-great-totham-primary-school,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-great-totham-primary-school,,,533519c4f5e2861351e3d8bc5c1d22798545a8b6c0dbcd9b9018c62771d181dc,"[{""page"": 54, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administration Assistant (Attendance),"£24,050.00 - £26,054.00 Annually (Actual)",Orsett Heath Academy,"Grays, East of England, RM16 4DG",2026-09-24,2026-10-01T12:00:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['PART_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,grays,LIVE,YES,administration-assistant-attendance-orsett-heath-academy,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-attendance-orsett-heath-academy,,,c44fe6ffa93244903d47f2a1bf814af5bcbe05f5d128b0bdc1122d7d49eea10f,"[{""page"": 22, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,"Attendance and SEND Administrator, with Midday assistant role included","£25,614.00 - £26,847.00 Annually (FTE) Attendance and SEND Administrator NJC SCP 3-6 27.5 hours per week, Midday Assistant 2.5 hours per week NJC SCP 3",Unity Primary Academy,"Colchester, East of England, CO4 3QJ",2026-09-21,2026-10-09T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,colchester,LIVE,YES,attendance-and-send-administrator-with-midday-assistant-role-included,https://teaching-vacancies.service.gov.uk/jobs/attendance-and-send-administrator-with-midday-assistant-role-included,,,ab3328140fa5c8684e82b78622add87aa9152bb8d0f24a82e01e2ff2f69caa55,"[{""page"": 47, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 11, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Lead Administrator,"£27,709.00 - £29,071.00 Annually (Actual)",Limebrook Primary School and Nursery,"Maldon, East of England, CM9 6NE",2026-09-18,2026-10-02T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,maldon,LIVE,YES,lead-administrator-limebrook-primary-school-and-nursery-maldon-essex,https://teaching-vacancies.service.gov.uk/jobs/lead-administrator-limebrook-primary-school-and-nursery-maldon-essex,,,2079a9258689ef1c1326e6c2e3c0dac3ba716f9b95278c6ce6ac911fc1bbeea1,"[{""page"": 28, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 7, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Receptionist,"£23,371.00 - £24,464.00 Annually (Actual) Band 2 Max Points 3 - 6. Term time plus 1 additional week (40 Weeks).",Sir Frederick Gibberd College,"Harlow, East of England, CM18 6RN",2026-09-23,2026-09-29T23:59:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['PART_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,harlow,LIVE,YES,receptionist-sir-frederick-gibberd-college,https://teaching-vacancies.service.gov.uk/jobs/receptionist-sir-frederick-gibberd-college,,,90f72754b9ebc9308054e17e2a9a0cf2a9bc76fea9b0eeda7d07fcc836456b6d,"[{""page"": 15, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,Receptionist 0.4 (1 Year Fixed Contract),"£26,646.00 - £27,911.00 Annually (FTE)",The Basildon Lower Academy,"Basildon, East of England, SS14 1UX",2026-09-16,2026-09-30T23:59:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['PART_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,basildon,LIVE,YES,receptionist-0-4-1-year-fixed-contract,https://teaching-vacancies.service.gov.uk/jobs/receptionist-0-4-1-year-fixed-contract,,,d71c70f74dc1aa26e78412d83f52ac02b2184fdc4b6a4efde81bf6f07c6f72ab,"[{""page"": 2, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,Social Media & Design Administrator,7-12,St Bernard's High School,"Westcliff-on-Sea, East of England, SS0 7JS",2026-09-16,2026-09-28T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,westcliff on sea,LIVE,YES,social-media-design-administrator,https://teaching-vacancies.service.gov.uk/jobs/social-media-design-administrator,,,9af255a138170f336860de0fb83f2898475101d8e980187255db71695a15a3b3,"[{""page"": 10, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
HARD_PASS,HR Business Partner,"£51,216 pa",Harlow College,"Harlow, East of England, CM20 3LH",2026-09-25,2026-10-12T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,harlow,LIVE,YES,hr-business-partner-harlow-college,https://teaching-vacancies.service.gov.uk/jobs/hr-business-partner-harlow-college,,,61221abf0e7a5956fb795cad95bf8c7e1f2846a7c09ecf7b27a79f757196c173,"[{""page"": 53, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,"Payroll, Contracts & Systems Officer",,The Chelmsford Learning Partnership,"Chelmsford, CM1 2QE",2026-09-22,2026-10-05T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Essex,Essex,ROUTED,Exact locality match in geo_lookup.xlsx,chelmsford,LIVE,YES,payroll-contracts-systems-officer,https://teaching-vacancies.service.gov.uk/jobs/payroll-contracts-systems-officer,,,53f2dfdbb2ade4fe4341f0f650fe11133ba5da2f3ab322aa961ce7ba2edd490b,"[{""page"": 37, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
