final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Assistant Exams Officer,"£27,274.00 - £29,071.00 Annually (FTE) Grade 4 scp. 7-11 pro rated. Actual Salary: £23,460 - £25,569",Saint Paul's Catholic High School,"Manchester, North West, M23 2YS",2026-09-07,2026-09-30T12:00:00+01:00,HC,Clear admin/service title: exams officer,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,manchester,LIVE,YES,assistant-exams-officer-saint-paul-s-catholic-high-school,https://teaching-vacancies.service.gov.uk/jobs/assistant-exams-officer-saint-paul-s-catholic-high-school,,,f784f36393553e3dbeea8146b731fa75e5dbaa25a1585fe0ed5a0d8afec393fb,"[{""page"": 16, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""exams officer"", ""route"": ""keyword:exams officer""}]",Teaching Vacancies
SELECTED,Level 2 Academy Administrator,"DAT Level 2, SCP 14-17 (Actual salary £24,444 - £24,832)",Dixons Newall Green Academy,"Manchester, North West, M23 2SX",2026-09-23,2026-09-30T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,"['FULL_TIME', 'TEMPORARY']",Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,manchester,LIVE,YES,level-2-academy-administrator-fa9311a4-090f-47e6-bfc4-97d8abcfff69,https://teaching-vacancies.service.gov.uk/jobs/level-2-academy-administrator-fa9311a4-090f-47e6-bfc4-97d8abcfff69,,,5b1a42a6a31eee53b51ddfa9c655f65e4a4bdd897632dc7f1b58935a3a6e053b,"[{""page"": 19, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 5, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Office Administrator,"£21,662.00 - £22,352.00 Annually (Actual) Bright Futures Grade 3 Point 4 - 6 Full Time 36.25 Hours",The Orchards,"Stretford, North West, M32 9TG",2026-09-16,2026-09-30T08:00:00+01:00,HC,"Clear admin/service title: administrator, office administrator",No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,stretford,LIVE,YES,office-administrator-the-orchards-stretford-greater-manchester,https://teaching-vacancies.service.gov.uk/jobs/office-administrator-the-orchards-stretford-greater-manchester,,,ee19b0077fa71f1fdce4194e66aaa3510b48cfacc4aa8cc9108e58a4646c33ba,"[{""page"": 14, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 4, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 2, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
SELECTED,Office Administrator and Receptionist,"£24,947.00 - £28,090.00 Annually (Actual) Band 2 Professional, Point 1 – 6 (24,947 – 28,090) Cost of living increase to be added",Salford City Academy,"Manchester, North West, M30 7PQ",2026-09-23,2026-10-09T09:00:00+01:00,HC,"Clear admin/service title: administrator, office administrator, receptionist",No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,manchester,LIVE,YES,office-administrator-and-receptionist-salford-city-academy,https://teaching-vacancies.service.gov.uk/jobs/office-administrator-and-receptionist-salford-city-academy,,,07db8ef6833c1939ae4b672bbff7739e0f68b4355e9f901a3f38947a3d460c71,"[{""page"": 45, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 11, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 4, ""query"": ""office"", ""route"": ""keyword:office""}, {""page"": 5, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,Receptionist and Marketing Administrator,"£22,427 to £29,071",Loreto High School Chorlton,"Manchester, North West, M21 7SW",2026-09-22,2026-10-02T08:00:00+01:00,HC,"Clear admin/service title: administrator, receptionist",No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,manchester,LIVE,YES,receptionist-and-marketing-administrator,https://teaching-vacancies.service.gov.uk/jobs/receptionist-and-marketing-administrator,,,ccb3f9945d36a6ba1fe5ded6660bec97829bb60578b97608a93c13d4788ffeb0,"[{""page"": 22, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 2, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,SEND Administrator,"£24,965.00 - £30,113.00 Annually (Actual) Additional payments for lunch duties",The Albion Academy,"Salford, North West, M6 6QT",2026-09-18,2026-10-05T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,salford,LIVE,YES,send-administrator-the-albion-academy,https://teaching-vacancies.service.gov.uk/jobs/send-administrator-the-albion-academy,,,9941e9856b058db66d6f82dc91968fd931dbb0c5db2830d6fc6be468218b1dd1,"[{""page"": 34, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 9, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Senior Administrator to the Senior Leadership Team,"The starting pro-rata salary is £29,448 and the full time equivalent is £34,237.",CHS South,"Manchester, North West, M21 7SX",2026-09-15,2026-09-27T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,manchester,LIVE,YES,senior-administrator-to-the-senior-leadership-team,https://teaching-vacancies.service.gov.uk/jobs/senior-administrator-to-the-senior-leadership-team,,,e1138498c0de9fcf7dae66df75fb8817ff229478730bd3d94e8f47adbf1e4ef5,"[{""page"": 4, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Trust Finance and Systems Administrator,"NJC SCP12 - SCP19 £28,598 - £32,062",The Co Operative Academies Trust,"Manchester, M60 0AG",2026-09-24,2026-10-12T00:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,manchester,LIVE,YES,trust-finance-and-systems-administrator,https://teaching-vacancies.service.gov.uk/jobs/trust-finance-and-systems-administrator,,,f58fcb8ca4d33990b2a966c308d9e7c3cc9322d7bc237e5db50a3fa68e898f4d,"[{""page"": 50, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 12, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Administrative Support Assistant,"£27,274.00 - £29,071.00 Annually (Actual) NJC Grade 4, Points 7-11",Levenshulme High School,"Manchester, North West, M19 1FS",2026-09-22,2026-10-07T08:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,manchester,LIVE,YES,administrative-support-assistant-levenshulme-high-school,https://teaching-vacancies.service.gov.uk/jobs/administrative-support-assistant-levenshulme-high-school,,,f97310b9a2c98f4805408fbb308cb06372ac0060729a58ceff5836faa3e9f857,"[{""page"": 40, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
POSS,Inclusion Administration Officer,"£23,460.00 - £25,006.00 Annually (Actual) NJC Grade 4, Points 7-11",Levenshulme High School,"Manchester, North West, M19 1FS",2026-09-22,2026-09-28T08:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['FULL_TIME'],Greater Manchester - Manchester & Salford,Greater Manchester - Manchester & Salford,ROUTED,Exact locality match in geo_lookup.xlsx,manchester,LIVE,YES,inclusion-administration-officer,https://teaching-vacancies.service.gov.uk/jobs/inclusion-administration-officer,,,ec5436af541cda84e64c6e90914cad84d70c87ef28e118831e5ed14c7a2e48e3,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
