final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Admin Assistant,"£25,052.00 - £26,825.00 Annually (FTE) £8,980 - £9,615 Pro-Rata",The Cambridge Primary School,"Aldershot, South East, GU11 4AA",2026-09-13,2026-09-25T23:59:00+01:00,HC,Clear admin/service title: admin assistant,No plausible JobG8 match,,,,['PART_TIME'],Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,aldershot,LIVE,YES,admin-assistant-the-cambridge-primary-school,https://teaching-vacancies.service.gov.uk/jobs/admin-assistant-the-cambridge-primary-school,,,fc12dc9edf438e2739a519c431d5765f65dad5136ee67fac5cd9993c79652844,"[{""page"": 28, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administrator - The Harbour School,"£26,427 - £27,274 per annum (actual salary for term time plus 3 weeks £24,343 - £25,123)",The Harbour School,"Portsmouth, South East, PO2 8RA",2026-09-10,2026-09-30T08:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,portsmouth,LIVE,YES,administrator-the-harbour-school-the-harbour-school,https://teaching-vacancies.service.gov.uk/jobs/administrator-the-harbour-school-the-harbour-school,,,b3a1369ae7e11bf654be3419288700766f6e952ff817cfe9e39a38581c9e8117,"[{""page"": 41, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Exams Officer and Assessment Data Co ordinator,"£27,780.00 - £30,564.00 Annually (FTE) Actual salary £24,980 - £27,484 per annum",Perins School,"Alresford, South East, SO24 9BS",2026-08-27,2026-09-25T23:59:00+01:00,HC,Clear admin/service title: exams officer,No plausible JobG8 match,,,,['PART_TIME'],Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,alresford,LIVE,YES,exams-officer-and-assessment-data-co-ordinator,https://teaching-vacancies.service.gov.uk/jobs/exams-officer-and-assessment-data-co-ordinator,,,93ac0a2883e9e6d7958b298dae31923000cc48ae97c640decb903b6d5f68ef35,"[{""page"": 28, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""exams officer"", ""route"": ""keyword:exams officer""}]",Teaching Vacancies
SELECTED,Personal Assistant to Executive Headteacher,"£33,178.00 - £36,369.00 Annually (FTE) Actual salary £30,696 - £33,648 per annum",Vita Multi Academy Trust,"Alresford, SO24 9BS",2026-09-18,2026-09-25T23:59:00+01:00,HC,Clear admin/service title: personal assistant,No plausible JobG8 match,,,,['FULL_TIME'],Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,alresford,LIVE,YES,personal-assistant-to-executive-headteacher-vita-multi-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/personal-assistant-to-executive-headteacher-vita-multi-academy-trust,,,7e55dd820eb9d3f04bfb903e69cbd51848989a7cbaed5554faadfdefa843dbcc,"[{""page"": 28, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""personal assistant"", ""route"": ""keyword:personal assistant""}]",Teaching Vacancies
HARD_PASS,Administration & Reception Assistant,,Cove School,"Farnborough, South East, GU14 9RN",2026-09-17,2026-09-27T23:59:00+01:00,HARD_PASS,Missing salary or pay scale,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,farnborough,LIVE,YES,administration-reception-assistant-cove-school,https://teaching-vacancies.service.gov.uk/jobs/administration-reception-assistant-cove-school,,,00b24f4a0882b922c439db67910715fcc0c38779520e74c13de59ec56dbec7d3,"[{""page"": 31, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Cover Co-ordinator and Cover Supervisor,"£27,780.00 - £30,564.00 Annually (FTE) Actual Salary £23,153 - £25,473 per annum",Perins School,"Alresford, South East, SO24 9BS",2026-08-27,2026-09-25T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,alresford,LIVE,YES,cover-co-ordinator-and-cover-supervisor,https://teaching-vacancies.service.gov.uk/jobs/cover-co-ordinator-and-cover-supervisor,,,3cede53e1d176fa58e8f4038d89c3f9a661025ea9285514d8535714b4f022287,"[{""page"": 28, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 29, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Deputy School Business Manager,"HCC Grade F £41,985-£46,565 (Depending on experience)",Crestwood Community School,"Eastleigh, South East, SO50 4FZ",2026-09-17,2026-10-02T12:00:00+01:00,HARD_PASS,"Manager title salary ceiling £46,565 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,eastleigh,LIVE,YES,deputy-school-business-manager-crestwood-community-school,https://teaching-vacancies.service.gov.uk/jobs/deputy-school-business-manager-crestwood-community-school,,,56dd90e53ca9d9accafd163277bcf4d7021968c9bd54411d43f2fcc12512bfb7,"[{""page"": 49, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Exams Access Arrangements Coordinator,"£29,800.00 Annually (FTE) Prorated salary for term time only working and 25 hours pw is £17,037 p.a.",Ringwood School Academy,"Ringwood, South East, BH24 1SE",2026-09-08,2026-09-22T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,ringwood,LIVE,YES,exams-access-arrangements-coordinator-ringwood-school-academy,https://teaching-vacancies.service.gov.uk/jobs/exams-access-arrangements-coordinator-ringwood-school-academy,,,012fe006b4a2209d3dc8fd6c5b4c2b167140cc1829bac36f98baece240705107,"[{""page"": 15, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance Officer,"£28,696.00 - £31,572.00 Annually (FTE)",The Romsey School,"Romsey, South East, SO51 8ZB",2026-09-07,2026-10-04T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,romsey,LIVE,YES,finance-officer-the-romsey-school,https://teaching-vacancies.service.gov.uk/jobs/finance-officer-the-romsey-school,,,7692d7b252c5257b2c5eee4272bda979a1153181fb8204ef9a587e9a50ee6e4b,"[{""page"": 51, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,School Resources/Administration Assistant,"£25,614.00 Annually (FTE) Grade B – Step 1 Actual Annual Salary £21,476.35 (which is equivalent to a full time salary of £25,614)",Deer Park School,"Southampton, South East, SO30 2HT",2026-09-17,2026-10-08T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Hampshire,Hampshire,ROUTED,Exact locality match in geo_lookup.xlsx,southampton,LIVE,YES,school-resources-administration-assistant,https://teaching-vacancies.service.gov.uk/jobs/school-resources-administration-assistant,,,60c7252ad8ae5f2f8808ae753512821161ab5184040224ee3d4bbaa5eb63546b,"[{""page"": 55, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
