final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administrator and Pupil Welfare,"£20,328.00 Annually (Actual)",The Orchard Primary School,"Watford, East of England, WD24 5JW",2026-09-04,2026-09-24T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,watford,LIVE,YES,administrator-and-pupil-welfare-the-orchard-primary-school,https://teaching-vacancies.service.gov.uk/jobs/administrator-and-pupil-welfare-the-orchard-primary-school,,,7f5bfab27cf91fbf98859ab2685aac0d61881fdc48c0cc742bc78ac1b68a2cd7,"[{""page"": 6, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Cover Administrator / Supervisor,"£25,118.00 Annually (Actual)",Watford Grammar School for Girls,"Watford, East of England, WD18 0AE",2026-09-18,2026-10-04T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,watford,LIVE,YES,cover-administrator-supervisor,https://teaching-vacancies.service.gov.uk/jobs/cover-administrator-supervisor,,,99e58c1b1ddcb198cf9e15201f009289810763c1247701ee26fa168bd2d9241e,"[{""page"": 10, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Database and Admissions Administrator,"£23,939.00 - £25,947.00 Annually (Actual) H5",Simon Balle All-Through School,"Hertford, East of England, SG13 8AJ",2026-09-18,2026-10-05T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,hertford,LIVE,YES,database-and-admissions-administrator-simon-balle-all-through-school,https://teaching-vacancies.service.gov.uk/jobs/database-and-admissions-administrator-simon-balle-all-through-school,,,04e627ebbf407ed87e881615e1bf00b89bee52e3076c91b6a059e967539fcb1b,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 10, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Examinations Officer,"£28,837.00 - £30,971.00 Annually (Actual) H7.19-23 Depending on Experience",The Adeyfield Academy,"Hemel Hempstead, East of England, HP2 4DE",2026-09-07,2026-09-24T23:59:00+01:00,HC,Clear admin/service title: examinations officer,No plausible JobG8 match,,,,['FULL_TIME'],Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,hemel hempstead,LIVE,YES,examinations-officer-a5731d2f-6372-47b8-8d69-8228b7ce94d0,https://teaching-vacancies.service.gov.uk/jobs/examinations-officer-a5731d2f-6372-47b8-8d69-8228b7ce94d0,,,5543d057e3707efc1ae1d641acdcde1fb5255d65250920143097b7644b22e41c,"[{""page"": 7, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Exams Officer,"H9, Point 28 (Actual Salary £34,804 )",Saint Joan of Arc Catholic School,"Rickmansworth, East of England, WD3 1HG",2026-09-04,2026-09-28T23:59:59+01:00,HC,Clear admin/service title: exams officer,No plausible JobG8 match,,,,['PART_TIME'],Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,rickmansworth,LIVE,YES,exams-officer-6f4c470f-3514-47b2-bee0-5c17421f7874,https://teaching-vacancies.service.gov.uk/jobs/exams-officer-6f4c470f-3514-47b2-bee0-5c17421f7874,,,95364e097ccc2c395744bd8be3d0b2af0636db451adb51e8a375cc38a7351e18,"[{""page"": 1, ""query"": ""exams officer"", ""route"": ""keyword:exams officer""}]",Teaching Vacancies
SELECTED,Finance Administrator,£13.47 Hourly,Bassingbourn Primary School,"Royston, East of England, SG8 5NP",2026-09-08,2026-09-30T23:59:00+01:00,HC,"Clear admin/service title: administrator, finance administrator",No plausible JobG8 match,,,,['PART_TIME'],Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,royston,LIVE,YES,finance-administrator-bassingbourn-primary-school,https://teaching-vacancies.service.gov.uk/jobs/finance-administrator-bassingbourn-primary-school,,,c60e4ce42aad20ac83200e8bfd8bea84f4df960661272882cad014c4a89d8cd6,"[{""page"": 31, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 7, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Office Administrator,"£20,604.00 - £21,718.00 Annually (Actual)",Larwood School,"Stevenage, East of England, SG1 5BZ",2026-09-21,2026-10-02T23:59:00+01:00,HC,"Clear admin/service title: administrator, office administrator",No plausible JobG8 match,,,,['PART_TIME'],Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,stevenage,LIVE,YES,office-administrator-larwood-school,https://teaching-vacancies.service.gov.uk/jobs/office-administrator-larwood-school,,,24f16235cf52ba7217dfc92fcb615a53bb335656ea5da5abf9d398ab0745515b,"[{""page"": 38, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 9, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 4, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
POSS,Administration Officer,"£26,552.00 - £28,742.00 Annually (FTE) Term time only Pro Rata salary.",Chenies School,"Rickmansworth, South East, WD3 6ER",2026-09-18,2026-10-12T09:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['FULL_TIME'],Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,rickmansworth,LIVE,YES,administration-officer-chenies-school,https://teaching-vacancies.service.gov.uk/jobs/administration-officer-chenies-school,,,fbc785644a71e069856172a38d0d1c96e1a07af5611b82af93a937aa530d164d,"[{""page"": 51, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,Attendance and Admin Officer,"£24,519.00 Annually (FTE) Role is paid £12.71 plus holiday pay. Full time equivalent £24,519",Katherine Warington School,"Harpenden, East of England, AL5 5FH",2026-09-09,2026-09-23T09:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,harpenden,LIVE,YES,attendance-and-admin-officer-katherine-warington-school,https://teaching-vacancies.service.gov.uk/jobs/attendance-and-admin-officer-katherine-warington-school,,,f4031657b8ae2307891fe5ca2dcfc49ffa63e891a790ccc829783665a50b254c,"[{""page"": 2, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,Finance Assistant,"£12,521.00 - £13,197.00 Annually (Actual)",Brighter Futures Educational Trust,"Stevenage, SG1 5BZ",2026-09-22,2026-10-02T23:59:00+01:00,POSS,Possible JobG8 duplicate requires review,POSSIBLE_DUPLICATE,Finance Assistant,Investigo,0.699,['PART_TIME'],Hertfordshire,Hertfordshire,ROUTED,Exact locality match in geo_lookup.xlsx,stevenage,LIVE,YES,finance-assistant-brighter-futures-educational-trust,https://teaching-vacancies.service.gov.uk/jobs/finance-assistant-brighter-futures-educational-trust,,,ef754af14c304fe27a335aef24cb190e2291378fed9b59299bbce8d5e8da8f77,"[{""page"": 38, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
