final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administration Assistant,"£26,847.00 - £28,153.00 Annually (Actual) £14,208 - £15,241 - WAT Grade d pt.6-9",St Augustine Academy,"Maidstone, South East, ME16 8AE",2026-09-11,2026-09-23T09:00:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['PART_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,maidstone,LIVE,YES,administration-assistant-st-augustine-academy,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-st-augustine-academy,,,6a1abd800498030ee0372463b2781895e4df0995aa84d4f02a31a8343d4c0b35,"[{""page"": 33, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administrative Assistant,"Actual Pro Rata Salary £23,599",Hillview School for Girls,"Tonbridge, South East, TN9 2HE",2026-09-08,2026-09-23T23:59:59+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['FULL_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,tonbridge,LIVE,YES,administrative-assistant-hillview-school-for-girls,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-hillview-school-for-girls,,,2b5afbb7a4ff0e979c9784d8746d70da027c82d188f3b0363ad4a94de8a93f7b,"[{""page"": 36, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Admissions Officer,"£25,989.00 - £32,061.00 Annually (FTE) Actual Salary Between £22,353 - £27,576",The Robert Napier School,"Gillingham, South East, ME7 2LX",2026-05-20,2026-09-28T09:00:00+01:00,HC,Clear admin/service title: admissions officer,No plausible JobG8 match,,,,['FULL_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,gillingham,LIVE,YES,admissions-officer-the-robert-napier-school,https://teaching-vacancies.service.gov.uk/jobs/admissions-officer-the-robert-napier-school,,,81b9a625fb851f61ca6d6d5a3acef183086b527faa85924e6b1390a4232d3809,"[{""page"": 46, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Examinations & Admissions Officer,"£24,553.00 - £26,171.00 Annually (Actual) NJC D2 point 7-11",Waterfront UTC,"Chatham, South East, ME4 4FQ",2026-09-04,2026-09-18T23:59:00+01:00,HC,Clear admin/service title: admissions officer,No plausible JobG8 match,,,,['FULL_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,chatham,LIVE,YES,examinations-admissions-officer,https://teaching-vacancies.service.gov.uk/jobs/examinations-admissions-officer,,,4ed15137735e468d97cdc825d4329239067c38ec5f4953dc7b5623c88a50d0ce,"[{""page"": 18, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,School Receptionist & Administrator,"£13,265.00 Annually (Actual) 3 days per week : Monday to Wednesday : 08:00-16:00",Valence School,"Westerham, South East, TN16 1QN",2026-09-11,2026-09-27T23:59:00+01:00,HC,"Clear admin/service title: administrator, receptionist",No plausible JobG8 match,,,,['PART_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,westerham,LIVE,YES,school-receptionist-administrator-valence-school-westerham-kent,https://teaching-vacancies.service.gov.uk/jobs/school-receptionist-administrator-valence-school-westerham-kent,,,3ee6bb69a0bfa54b7edd40608e04beca6e6ff8b9a6d4b2f2c6adce1c7afff1d8,"[{""page"": 44, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 4, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
HARD_PASS,Attendance and Family Liaison Officer,"£16,551.00 Annually (Actual) Term Time Only",Will Adams Academy,"Gillingham, South East, ME7 2BX",2026-09-02,2026-10-02T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,gillingham,LIVE,YES,attendance-and-family-liaison-officer-will-adams-academy,https://teaching-vacancies.service.gov.uk/jobs/attendance-and-family-liaison-officer-will-adams-academy,,,835a303f7a2e8d687ed9fcfef1646d5f5c8200fe4db3546c6b9a25e887a306f9,"[{""page"": 52, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance Business Partner,"£39,493 - £47,014",The Thinking Schools Academy Trust,"Chatham, ME4 6NR",2026-09-09,2026-09-20T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,chatham,LIVE,YES,finance-business-partner-the-thinking-schools-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/finance-business-partner-the-thinking-schools-academy-trust,,,eb5dadb63d89f6213bc6597ee02b68371282eb1fa6bf669feb161c747fef65a8,"[{""page"": 20, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 21, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Financial Analyst,"KS G - £36,264 FTE / £21,758.40 pro-rata",The Norton Knatchbull School,"Ashford, South East, TN24 0QJ",2026-09-09,2026-09-25T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,ashford,LIVE,YES,financial-analyst-the-norton-knatchbull-school,https://teaching-vacancies.service.gov.uk/jobs/financial-analyst-the-norton-knatchbull-school,,,9945bd6e72ca9e1e56220c4a391d3ed83ffd9f77e3c423c38a93513085d7da14,"[{""page"": 39, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Lead Safeguarding Administration Officer,"£32,061.00 - £34,434.00 Annually (FTE) Actual Salary Between - £29,829 - £32,036",The Robert Napier School,"Gillingham, South East, ME7 2LX",2026-09-02,2026-09-18T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,gillingham,LIVE,YES,lead-safeguarding-administration-officer-the-robert-napier-school-gillingham-kent,https://teaching-vacancies.service.gov.uk/jobs/lead-safeguarding-administration-officer-the-robert-napier-school-gillingham-kent,,,72c6735d74855bad96a31f1da5ed1c28deb38186564a8d551dcf7c6372dd0603,"[{""page"": 14, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,School Business Manager,"Between £32,140 and £35,035 (kent Pay Scheme F)",Whitstable Junior School,"Whitstable, South East, CT5 1DB",2026-09-01,2026-09-15T09:00:00+01:00,HARD_PASS,"Manager title salary ceiling £35,035 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Kent,Kent,ROUTED,Exact locality match in geo_lookup.xlsx,whitstable,LIVE,YES,school-business-manager-whitstable-junior-school,https://teaching-vacancies.service.gov.uk/jobs/school-business-manager-whitstable-junior-school,,,594ab29d02e77aacae2dd3c699abc828164c1b4cc1dd55e6d0fec74615b5d0e1,"[{""page"": 8, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
