final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administrative Assistant / Receptionist,"Grade 3, £26,388 - £27,188 per annum, pro rata. Approximately £20,783 - £21,413 per annum (0.78758 FTE)",Krishna Avanti Primary School,"Leicester, East Midlands, LE5 6HN",2026-08-20,2026-09-06T23:59:00+01:00,HC,"Clear admin/service title: administrative assistant, receptionist",No plausible JobG8 match,,,,['PART_TIME'],Leicestershire,Leicestershire,ROUTED,Exact locality match in geo_lookup.xlsx,leicester,LIVE,YES,administrative-assistant-receptionist-krishna-avanti-primary-school,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-receptionist-krishna-avanti-primary-school,,,50886f798c3d43b595826d92fb49a4991abad95caed3d66fa83e8f5b942d7fee,"[{""page"": 38, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrative"", ""route"": ""keyword:administrative""}, {""page"": 4, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,School Administrator,"£20,395.00 - £20,718.00 Annually (Actual) LCC Pay Award Pending",Loughborough Church of England Primary School,"Loughborough, East Midlands, LE11 3BY",2026-08-07,2026-08-24T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Leicestershire,Leicestershire,ROUTED,Exact locality match in geo_lookup.xlsx,loughborough,LIVE,YES,school-administrator-loughborough-church-of-england-primary-school,https://teaching-vacancies.service.gov.uk/jobs/school-administrator-loughborough-church-of-england-primary-school,,,83ed0bb2148507808087b18c5ed37669731f74afa261ca4df0e310b983606dd4,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Administrative Officer,Grade 6,Water Leys Primary School,"Wigston, East Midlands, LE18 1HG",2026-08-18,2026-09-04T09:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['PART_TIME'],Leicestershire,Leicestershire,ROUTED,Exact locality match in geo_lookup.xlsx,wigston,LIVE,YES,administrative-officer-water-leys-primary-school,https://teaching-vacancies.service.gov.uk/jobs/administrative-officer-water-leys-primary-school,,,ed819a3dc6cdd5e17abbcbb9f1f2d714518601f944ce81f20855d92dc143b4be,"[{""page"": 33, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
POSS,Administrator,"£23,375.00 - £25,751.00 Annually (Actual)",Foxfields Academy,"Blaby, East Midlands, LE8 4FE",2026-07-23,2026-08-23T23:59:00+01:00,POSS,Possible JobG8 duplicate requires review,POSSIBLE_DUPLICATE,Administrator,Pilgrims' Friend Society,0.790,['FULL_TIME'],Leicestershire,Leicestershire,ROUTED,Exact locality match in geo_lookup.xlsx,blaby,LIVE,YES,administrator-foxfields-academy,https://teaching-vacancies.service.gov.uk/jobs/administrator-foxfields-academy,,,83d6e5c6466b99c69fe7cccf1a8d12f153b9c947756b9680288fd9ef20dc1d85,"[{""page"": 1, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
HARD_PASS,Director of Finance,"£63,027.00 - £69,342.00 Annually (FTE)",Rise Multi Academy Trust,"Syston, LE7 1HR",2026-08-06,2026-09-07T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Leicestershire,Leicestershire,ROUTED,Exact locality match in geo_lookup.xlsx,syston,LIVE,YES,director-of-finance-rise-multi-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/director-of-finance-rise-multi-academy-trust,,,c17fe70482478437b27d9cd4aa1c2d98b5f3f29e31ab8c40eaac8be8df095bd3,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Extended Services Club Manager (EXS031BC),"£26,832.00 - £28,146.00 Annually (FTE) Actual Starting Salary Approx £20,164.58 per annum",Sileby Redlands Community Primary School,"Loughborough, East Midlands, LE12 7LZ",2026-06-29,2026-08-31T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £28,146 is not below £28,000",No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Leicestershire,Leicestershire,ROUTED,Exact locality match in geo_lookup.xlsx,loughborough,LIVE,YES,extended-services-club-manager-exs031bc,https://teaching-vacancies.service.gov.uk/jobs/extended-services-club-manager-exs031bc,,,dea87ae5129d3a82557c1fafdc6739189deee8945d8c5d3911cc10ef30618463,"[{""page"": 16, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance Manager,"£35,451.00 - £39,165.00 Annually (Actual)",Discovery Schools Academies Trust Ltd,"Leicester, LE4 1EZ",2026-08-11,2026-08-24T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £39,165 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Leicestershire,Leicestershire,ROUTED,Exact locality match in geo_lookup.xlsx,leicester,LIVE,YES,finance-manager-discovery-schools-academies-trust-ltd-leicester-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/finance-manager-discovery-schools-academies-trust-ltd-leicester-not-recorded,,,da6c05b195f5b5096b93bb825649c482f6d0351f58ccbe6296583084393f9d72,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Music Support Assistant,"£25,989.00 - £27,254.00 Annually (FTE) Actual Salary £13,631.05 to £14,294.54 pa","English Martyrs' Catholic School, A Voluntary Academy","Leicester, East Midlands, LE4 0FJ",2026-07-09,2026-08-24T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Leicestershire,Leicestershire,ROUTED,Exact locality match in geo_lookup.xlsx,leicester,LIVE,YES,music-support-assistant,https://teaching-vacancies.service.gov.uk/jobs/music-support-assistant,,,c792e33997bbf407f81f2c2d5f7141d806a761e1199a3816fd5396127733479f,"[{""page"": 3, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,School Business Lead,"£30,024.00 - £39,152.00 Annually (FTE) Grade 5 to Band A, Points 15 to 28 (37 Hours Per Week/All Year Round)",Glenfield Primary School,"Leicester, East Midlands, LE3 8DL",2026-07-07,2026-09-01T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Leicestershire,Leicestershire,ROUTED,Exact locality match in geo_lookup.xlsx,leicester,LIVE,YES,school-business-lead-glenfield-primary-school-leicester-leicestershire,https://teaching-vacancies.service.gov.uk/jobs/school-business-lead-glenfield-primary-school-leicester-leicestershire,,,5105210cfdb7fd37ea060eef7eb6d0fbef7f8a2939b2f664aeb6f4adbef6a7a1,"[{""page"": 22, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,School Office Lead,"£22,970.69 - £25,296.53 Annually (Actual) Grade 4 , Points 8 to 14",Foxbridge Primary School,"Castle Donington, East Midlands, DE74 2SN",2026-07-30,2026-08-28T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Leicestershire,Leicestershire,ROUTED,Exact postcode match in geo_lookup.xlsx,de74 2sn,LIVE,YES,school-office-lead,https://teaching-vacancies.service.gov.uk/jobs/school-office-lead,,,8246de143f1063d29f4709aadbdf3420e6c36842da4fc312a7c0e0d53b093895,"[{""page"": 8, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
