final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Academy Administrator,"£24,796.00 - £24,796.00 Annually (FTE) NJC3 : 7.30am-3.30pm Mon-Th : 7.30am-3.00pm Fri - Term Time",Havelock Academy,"Grimsby, Yorkshire and the Humber, DN32 8JH",2026-07-15,2026-08-15T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,grimsby,UNREGISTERED,NO,academy-administrator-havelock-academy,https://teaching-vacancies.service.gov.uk/jobs/academy-administrator-havelock-academy,,,b075c6ce9b741c3a8cbb92cd3d5bdf1ee09bccb5d8dd36e9d47d4f897f1b7605,"[{""page"": 39, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 9, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Administration Assistant/Receptionist,"£8,621.00 Annually (Actual) G3.6 £24,796 FTE",Newton Bridge Academy,"Grantham, East Midlands, NG31 9AX",2026-07-22,2026-08-23T23:59:00+01:00,HC,"Clear admin/service title: receptionist, administration assistant",No plausible JobG8 match,,,,['PART_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,grantham,UNREGISTERED,NO,administration-assistant-receptionist-newton-bridge-academy,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-receptionist-newton-bridge-academy,,,dd6e18981374ecf61ac2e16e9ca32d47303713a4efcdb7546013004d2b6af1b7,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,Human Resources Administrator,"PPS6 £25,989 per annum, pro rata £23,460 per annum",The Priory Federation Of Academies,"Lincoln, LN5 8RE",2026-08-06,2026-08-16T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,lincoln,UNREGISTERED,NO,human-resources-administrator-the-priory-federation-of-academies,https://teaching-vacancies.service.gov.uk/jobs/human-resources-administrator-the-priory-federation-of-academies,,,e59e76f0f475e0669d3e3e9b707ff0dc83b097c7587f2fae2aec819d2257c474,"[{""page"": 7, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Pupil Receptionist/Administrator,"Salary: Grade 3 Point 6 £24,796 FTE Actual Salary: £21,267",University Academy Long Sutton,"Spalding, East Midlands, PE12 9LF",2026-06-23,2026-08-13T12:00:00+01:00,HC,"Clear admin/service title: administrator, receptionist",No plausible JobG8 match,,,,['FULL_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,spalding,UNREGISTERED,NO,pupil-receptionist-administrator-university-academy-long-sutton-spalding-lincolnshire,https://teaching-vacancies.service.gov.uk/jobs/pupil-receptionist-administrator-university-academy-long-sutton-spalding-lincolnshire,,,8db1e9b369a5b3b1eff4842791a5049c725c84413eae01f43829754109b707d2,"[{""page"": 47, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 11, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 4, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
SELECTED,Teaching School Hub Administrator,"£25,583.00 Annually (FTE) NJC 5: £25,583.00 FTE, £13,482.93 pro rata per annum",Havelock Academy,"Grimsby, Yorkshire and the Humber, DN32 8JH",2026-08-03,2026-08-24T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,grimsby,UNREGISTERED,NO,teaching-school-hub-administrator-havelock-academy,https://teaching-vacancies.service.gov.uk/jobs/teaching-school-hub-administrator-havelock-academy,,,7d9a139deb81cc09af0489c351f51feddd5a2a386c96c18acfe8fe34dca513d1,"[{""page"": 12, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,Data Officer,"£14,432.00 - £16,317.00 Annually (Actual) Band 4, SCP 11 - 17","St Peter and St Paul, Catholic Voluntary Academy","Lincoln, East Midlands, LN6 7SX",2026-07-16,2026-09-07T23:59:00+01:00,POSS,Borderline school administration title: data officer,No plausible JobG8 match,,,,['PART_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,lincoln,UNREGISTERED,NO,data-officer-st-peter-and-st-paul-catholic-voluntary-academy-lincoln-lincolnshire,https://teaching-vacancies.service.gov.uk/jobs/data-officer-st-peter-and-st-paul-catholic-voluntary-academy-lincoln-lincolnshire,,,dca197f864df2ba40b1537d3caf44a0a3a47a49f4643001faac65ea9c3219b64,"[{""page"": 35, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,Office Manager,"£24,272.00 - £26,756.00 Annually (Actual)",Saint Augustine Webster Catholic Voluntary Academy,"Scunthorpe, Yorkshire and the Humber, DN15 8BU",2026-07-16,2026-09-15T23:59:00+01:00,POSS,"Manager title below £28,000 salary ceiling requires review",No plausible JobG8 match,,,,['FULL_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,scunthorpe,UNREGISTERED,NO,office-manager-5960c337-50dd-408c-89a6-bc2f39580f3d,https://teaching-vacancies.service.gov.uk/jobs/office-manager-5960c337-50dd-408c-89a6-bc2f39580f3d,,,1479e8554d8ac8db7f8a7768a8b98395b08122f1b130fc17c57ad9422f358a93,"[{""page"": 38, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
POSS,Office Manager,"£24,272.00 - £26,756.00 Annually (Actual) Band 4, Scale points 11 - 17","Our Lady of Good Counsel Catholic Primary School, A Voluntary Academy","Sleaford, East Midlands, NG34 7AT",2026-08-03,2026-08-31T09:00:00+01:00,POSS,"Manager title below £28,000 salary ceiling requires review",No plausible JobG8 match,,,,['FULL_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,sleaford,UNREGISTERED,NO,office-manager-our-lady-of-good-counsel-catholic-primary-school-a-voluntary-academy,https://teaching-vacancies.service.gov.uk/jobs/office-manager-our-lady-of-good-counsel-catholic-primary-school-a-voluntary-academy,,,c4ada383700d27cf2948082340c8087cf9debc0922c84fcb750ae9008001823d,"[{""page"": 11, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,Clerical Assistant,"Grade 3 Points 6 – 9, £25,615 – 26,847 FTE",Whaplode Church of England Primary School,"Spalding, East Midlands, PE12 6TS",2026-07-23,2026-08-31T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,spalding,UNREGISTERED,NO,clerical-assistant-whaplode-church-of-england-primary-school,https://teaching-vacancies.service.gov.uk/jobs/clerical-assistant-whaplode-church-of-england-primary-school,,,e5e7e599b65db6773dcbce7b2c0b4599093c5e0f4555cd4779c7b1e60ea52f74,"[{""page"": 23, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Governance & Compliance Officer,"£25,989.00 - £27,254.00 Annually (FTE)",Inspire Connected Communities Trust,"Louth, LN11 8RS",2026-07-29,2026-09-01T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,louth,UNREGISTERED,NO,governance-compliance-officer-inspire-connected-communities-trust,https://teaching-vacancies.service.gov.uk/jobs/governance-compliance-officer-inspire-connected-communities-trust,,,0b3d809d007baa6158ac72fd9e599741d50674634709f3a07272dea5bae0b816,"[{""page"": 17, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Office Manager,"£29,540 - £32,061 FTE, £25,488 - £27,663 Actual",Cambridge Park Academy,"Grimsby, Yorkshire and the Humber, DN34 5EB",2026-07-24,2026-08-31T08:00:59+01:00,HARD_PASS,"Manager title salary ceiling £32,061 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,grimsby,UNREGISTERED,NO,office-manager-cambridge-park-academy-grimsby-north-east-lincolnshire,https://teaching-vacancies.service.gov.uk/jobs/office-manager-cambridge-park-academy-grimsby-north-east-lincolnshire,,,ef384ab5633c52dcb36606c780a8388d08dc1b1b65a89c403da2eac2b7ad07c4,"[{""page"": 21, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 22, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,Senior Administrative Officer,"Grade 5, 12-15 £28,155.00 - £31,015.00 FTE",Lincoln Anglican Academy Trust,"Ruskington, NG34 9DL",2026-07-23,2026-08-31T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact postcode match in geo_lookup.xlsx,ng34 9dl,UNREGISTERED,NO,senior-administrative-officer-lincoln-anglican-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/senior-administrative-officer-lincoln-anglican-academy-trust,,,fcd0d5f9498c3e78b2bf3963ecc77d5f92ac11b6f77c1c7e18778094f40cd8a6,"[{""page"": 24, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
HARD_PASS,Senior Administrative Officer (15 hours) - Ulceby CofE Primary School,,Ulceby St Nicholas Church of England Primary School,"Ulceby, Yorkshire and the Humber, DN39 6TB",2026-07-21,2026-09-06T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Lincolnshire,Lincolnshire,ROUTED,Exact locality match in geo_lookup.xlsx,ulceby,UNREGISTERED,NO,senior-administrative-officer-15-hours-ulceby-cofe-primary-school,https://teaching-vacancies.service.gov.uk/jobs/senior-administrative-officer-15-hours-ulceby-cofe-primary-school,,,d6a2049c6de154153db37187f6565d30b4ef4cfa7a1582346d0fac29264ea304,"[{""page"": 28, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
