final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administration Assistant,"£17,994.00 - £18,372.00 Annually (Actual)",North Durham Academy,"Stanley, North East, DH9 0TW",2026-09-22,2026-10-06T12:00:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['PART_TIME'],North East,North East - County Durham & Darlington/Hartlepool,ROUTED,Exact locality match in geo_lookup.xlsx,stanley,LIVE,YES,administration-assistant-north-durham-academy,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-north-durham-academy,,,6d61779b4b8b1463daa10f377cbe255a639b809bdcf168fe2d856cc418c00f84,"[{""page"": 39, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administration Assistant,"£11,376.94 - £11,555.42 Annually (Actual) Job Evaluation in process","St Leonard's Catholic Primary School, Silksworth","Sunderland, North East, SR3 2BB",2026-09-25,2026-10-07T12:00:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['PART_TIME'],North East,"North East - Tyneside, Wearside & Northumberland",ROUTED,Exact locality match in geo_lookup.xlsx,sunderland,LIVE,YES,administration-assistant-st-leonard-s-catholic-primary-school-silksworth,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-st-leonard-s-catholic-primary-school-silksworth,,,8a5e76f70b7b630a0f852ff04bec4f391e5c80c797af4eee447a3db3117c94bb,"[{""page"": 41, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Attendance Officer & Administrator,"£24,829.00 Annually (Actual) SCP10",Bede Academy,"Blyth, North East, NE24 2SY",2026-09-09,2026-10-02T09:00:00+01:00,HC,"Clear admin/service title: administrator, attendance officer",No plausible JobG8 match,,,,['FULL_TIME'],North East,"North East - Tyneside, Wearside & Northumberland",ROUTED,Exact locality match in geo_lookup.xlsx,blyth,LIVE,YES,attendance-officer-administrator-bede-academy-blyth-northumberland,https://teaching-vacancies.service.gov.uk/jobs/attendance-officer-administrator-bede-academy-blyth-northumberland,,,0105b1e26ecf77a30d3162367d75dee318ac214fb8304b1f829bde9c16088460,"[{""page"": 22, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 23, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Data Management Administrator (2025/HM084),"£25,125",East Durham College,"Peterlee, North East, SR8 2RN",2026-09-25,2026-10-11T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],North East,North East - County Durham & Darlington/Hartlepool,ROUTED,Exact locality match in geo_lookup.xlsx,peterlee,LIVE,YES,data-management-administrator-2025-hm084,https://teaching-vacancies.service.gov.uk/jobs/data-management-administrator-2025-hm084,,,bdeeb8867fca89842312e5ff5818735800e47e004def50a6c4dc216d7f3f918a,"[{""page"": 12, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,HR & Payroll Administrator,"£28,992.00 - £30,452.00 Annually (Actual) Term Time Plus 4 weeks (Will consider Whole Time)",Emmanuel Schools Foundation,"Blyth, NE24 2SY",2026-09-15,2026-10-02T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],North East,"North East - Tyneside, Wearside & Northumberland",ROUTED,Exact locality match in geo_lookup.xlsx,blyth,LIVE,YES,hr-payroll-administrator-emmanuel-schools-foundation,https://teaching-vacancies.service.gov.uk/jobs/hr-payroll-administrator-emmanuel-schools-foundation,,,9782f3fd704d82d3ab934a876a9ef958513d993a848865f126b96bbf365ad10f,"[{""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 7, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Inclusion Administrator,"Grade 3, SCP 7-8, FTE salary £27,274.00 - £27,709.00, pro rata salary £24,096.58 - £24,480.90",The Blyth Academy,"Blyth, North East, NE24 4JP",2026-09-21,2026-09-30T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],North East,"North East - Tyneside, Wearside & Northumberland",ROUTED,Exact locality match in geo_lookup.xlsx,blyth,LIVE,YES,inclusion-administrator-the-blyth-academy,https://teaching-vacancies.service.gov.uk/jobs/inclusion-administrator-the-blyth-academy,,,f0500291f72e166c2f92841c9bdaac9db965ddd1fe948beaa4ac8e4bc30136b2,"[{""page"": 5, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Lead Administrator,"N5 SCP 13 - 17 FTE salary: £30,023 - £32,046 per annum £16,615 - £17,735 actual salary pro-rata (£15.56 - £16.61 hourly rate)",Harry Watts Academy,"Sunderland, North East, SR5 5JA",2026-09-16,2026-10-05T12:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],North East,"North East - Tyneside, Wearside & Northumberland",ROUTED,Exact locality match in geo_lookup.xlsx,sunderland,LIVE,YES,lead-administrator-harry-watts-academy,https://teaching-vacancies.service.gov.uk/jobs/lead-administrator-harry-watts-academy,,,02235493379e4832a8638469601417d5b6e7baded4f518dcb9a94c0467a1d63a,"[{""page"": 36, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 9, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,School Administrator,"£25,989",Berwick St Mary's Church of England Primary School,"Berwick-upon-Tweed, North East, TD15 1SP",2026-09-21,2026-10-12T09:00:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",North East,"North East - Tyneside, Wearside & Northumberland",ROUTED,Exact locality match in geo_lookup.xlsx,berwick upon tweed,LIVE,YES,school-administrator-4b89961d-cc62-4cfa-9732-a8929179b607,https://teaching-vacancies.service.gov.uk/jobs/school-administrator-4b89961d-cc62-4cfa-9732-a8929179b607,,,15224eb3202ab3213a3695255ee17a2d96d67d203876f3cf67611dfb60a4ba81,"[{""page"": 50, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 13, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,School Support Roles - Supervisory Assistant & Administrative Assistant,"Grade 5 £27,274 - £28,153 per annum pro rata, pay award pending (actual salary £6,312 - £6,516). Grade 2 £25,614 per annum pro rata (actual salary £866 per annum).",St Peter's Church of England Primary School,"Wallsend, North East, NE28 6PY",2026-09-16,2026-10-01T23:59:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,"['PART_TIME', 'TEMPORARY']",North East,"North East - Tyneside, Wearside & Northumberland",ROUTED,Exact locality match in geo_lookup.xlsx,wallsend,LIVE,YES,school-support-roles-supervisory-assistant-administrative-assistant,https://teaching-vacancies.service.gov.uk/jobs/school-support-roles-supervisory-assistant-administrative-assistant,,,ece3b6a31b493731e60c3ec2b881ae680fbd6627b80f0e3bac045227c96428a7,"[{""page"": 21, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
HARD_PASS,Business Lead,"£24,274.00 - £26,332.00 Annually (Actual)","St Leonard's Catholic Primary School, Silksworth","Sunderland, North East, SR3 2BB",2026-09-25,2026-10-07T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],North East,"North East - Tyneside, Wearside & Northumberland",ROUTED,Exact locality match in geo_lookup.xlsx,sunderland,LIVE,YES,business-lead-st-leonard-s-catholic-primary-school-silksworth,https://teaching-vacancies.service.gov.uk/jobs/business-lead-st-leonard-s-catholic-primary-school-silksworth,,,a8de144b0fa52f32b54d90b06853e17d3e41a8b661567edd005494d29fe46b47,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Governance and Procurement Officer,"£33,119.00 - £35,570.00 Annually (Actual)",Bishop Hogarth Catholic Education Trust,"Darlington, DL3 8RW",2026-09-18,2026-10-07T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],North East,North East - County Durham & Darlington/Hartlepool,ROUTED,Exact locality match in geo_lookup.xlsx,darlington,LIVE,YES,governance-and-procurement-officer,https://teaching-vacancies.service.gov.uk/jobs/governance-and-procurement-officer,,,c24d49bb6a1a309e2d2622d3e0d7f4e512ea9e0603f6806c6f8e4aa7b00c6b6b,"[{""page"": 41, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
