final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administration Assistant,"Grade F, SCP 7 to 8, pending job evaluation",Conyers School,"Yarm, North East, TS15 9ET",2026-09-25,2026-10-12T12:00:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['PART_TIME'],North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,yarm,UNREGISTERED,NO,administration-assistant-e053f2e7-6038-4ade-97e2-a063832069a7,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-e053f2e7-6038-4ade-97e2-a063832069a7,,,de266f2fa4b6e006e64a42a1afe7842ebe07c663e38c8902c623c6b0ddd4edbc,"[{""page"": 53, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administration Assistant,"£22,204.00 - £23,273.00 Annually (FTE) Salary based on Grade C/D, Scale Point 03 - 06 £25,614 - 26,847 FTE.",Nunthorpe School & Sixth Form,"Middlesbrough, North East, TS7 0LA",2026-09-17,2026-09-30T12:00:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['FULL_TIME'],North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,middlesbrough,UNREGISTERED,NO,administration-assistant-nunthorpe-school-sixth-form,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-nunthorpe-school-sixth-form,,,06980d3572d33be6654f0741655a2da351540c82d223e456fb67e92fbbb89e71,"[{""page"": 17, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Receptionist,"Grade C, SCP 3",Huntcliff School,"Saltburn By the Sea, North East, TS12 1HJ",2026-09-21,2026-10-12T09:00:00+01:00,HC,Clear admin/service title: receptionist,No plausible JobG8 match,,,,['PART_TIME'],North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,saltburn by the sea,UNREGISTERED,NO,receptionist-huntcliff-school,https://teaching-vacancies.service.gov.uk/jobs/receptionist-huntcliff-school,,,64903b019f3332944046ba1ec2aa71f1572fb2b01b2457ae633d99428e43dc2f,"[{""page"": 51, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
POSS,Trust HR Assistant,"Grade F, SCP 7 to 8",Spark Education Trust,"Stockton-On-Tees, TS17 0RJ",2026-09-25,2026-10-12T12:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['PART_TIME'],North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,stockton on tees,UNREGISTERED,NO,trust-hr-assistant-4cbf6320-926e-4fa3-b6fa-3945a409f1ad,https://teaching-vacancies.service.gov.uk/jobs/trust-hr-assistant-4cbf6320-926e-4fa3-b6fa-3945a409f1ad,,,ff43a3765798efaca4532c4d3a900ea1f6bfba0fb336443c528fd3d83aa22fa7,"[{""page"": 53, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Administration Support Clerk,"Grade D Point 6 £26,846 (actual salary £23,195)",Acklam Grange School,"Middlesbrough, North East, TS5 8PB",2026-09-21,2026-10-05T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,"['FULL_TIME', 'TEMPORARY']",North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,middlesbrough,UNREGISTERED,NO,administration-support-clerk-acklam-grange-school,https://teaching-vacancies.service.gov.uk/jobs/administration-support-clerk-acklam-grange-school,,,27565d190d10c3f178466ac2ee255d79c1903f5fa555b15cc051cdf75bf84a08,"[{""page"": 35, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Barley Fields Primary School – School Office Manager,"£35,859.00 - £39,124.00 Annually (Actual) Salary shown is actual based on pro-rata from named NJC scale points and length of service, based on NJC pay scales April 2026",Barley Fields Primary,"Stockton-on-Tees, North East, TS17 0QP",2026-09-23,2026-10-09T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £39,124 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,stockton on tees,UNREGISTERED,NO,barley-fields-primary-school-school-office-manager,https://teaching-vacancies.service.gov.uk/jobs/barley-fields-primary-school-school-office-manager,,,c8e86763b714262145f2d1e4e02d366b835d0724336e201ba3ea90e44bb0cd68,"[{""page"": 48, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 5, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,Finance Officer,"Grade H-I 16-24 NJC (£30,518 – £35,412)",The Legacy Learning Trust,"Middlesbrough, TS5 8PB",2026-09-10,2026-09-28T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,middlesbrough,UNREGISTERED,NO,finance-officer-326e8711-30eb-4683-b8a7-6e0c7757378c,https://teaching-vacancies.service.gov.uk/jobs/finance-officer-326e8711-30eb-4683-b8a7-6e0c7757378c,,,9af16d15de8a02931ca509d9a5598d9ca65123b656ab41bbb4d218601b42bf4b,"[{""page"": 10, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Office Manager and PA to the Headteacher,"£32,061.00 - £33,699.00 Annually (Actual) This is Whole Time Post",Our Lady & St. Bede Catholic Academy,"Stockton-on-Tees, North East, TS19 0QH",2026-09-20,2026-10-07T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £33,699 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,stockton on tees,UNREGISTERED,NO,office-manager-and-pa-to-the-headteacher-our-lady-st-bede-catholic-academy-stockton-on-tees-cleveland,https://teaching-vacancies.service.gov.uk/jobs/office-manager-and-pa-to-the-headteacher-our-lady-st-bede-catholic-academy-stockton-on-tees-cleveland,,,faf1c7dc14d4eff6c1cc2fff4b504fc6a7418a9d466beb9c140f7323c7f16c6a,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 4, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,School Business Manager,"£33,699 - £35,412 (actual salary: £31,352 - £32,946)","St Patrick's Catholic College, A Voluntary Catholic Academy","Stockton-on-Tees, North East, TS17 9DE",2026-09-16,2026-10-05T09:00:00+01:00,HARD_PASS,"Manager title salary ceiling £35,412 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,stockton on tees,UNREGISTERED,NO,school-business-manager-st-patrick-s-catholic-college-a-voluntary-catholic-academy,https://teaching-vacancies.service.gov.uk/jobs/school-business-manager-st-patrick-s-catholic-college-a-voluntary-catholic-academy,,,2d54683b04022fcbd0f42e24d692f6d598520d69bdc434e017deba0ccedeadbe,"[{""page"": 32, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Trust Finance Assistant,"£24,165 to £25,108",Spark Education Trust,"Stockton-On-Tees, TS17 0RJ",2026-09-23,2026-10-12T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],North East - Tees Valley,North East - Tees Valley,ROUTED,Exact locality match in geo_lookup.xlsx,stockton on tees,UNREGISTERED,NO,trust-finance-assistant-spark-education-trust-stockton-on-tees-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/trust-finance-assistant-spark-education-trust-stockton-on-tees-not-recorded,,,872527fc0373cc44bbe41f6139e36c5448147cee7ddc25594c3bc6e5edc0e242,"[{""page"": 53, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
