final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administrative Assistant,"£6,064.00 Annually (FTE) BWT Grade 2. FTE salary is £26,121",Gretton Primary Academy,"Corby, East Midlands, NN17 3DB",2026-09-14,2026-09-20T23:59:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,corby,LIVE,YES,administrative-assistant-gretton-primary-academy,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-gretton-primary-academy,,,c9b04b9a59a3dd4d4c159a12854be55226913c9433cce54e0a31aeaa476d35ba,"[{""page"": 9, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
POSS,Administrator,"£26,846.00 - £27,274.00 Annually (FTE) Pro rata to £20,261.08 to £20,584.10",Cranford CofE Primary School,"Kettering, East Midlands, NN14 4AE",2026-09-08,2026-09-25T23:59:00+01:00,POSS,Possible JobG8 duplicate requires review,POSSIBLE_DUPLICATE,HR Administrator,ENB Recruitment and Training Limited,0.681,['PART_TIME'],Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,kettering,LIVE,YES,administrator-cranford-cofe-primary-school,https://teaching-vacancies.service.gov.uk/jobs/administrator-cranford-cofe-primary-school,,,3ba40f543160fe7a5b5386ec9e0812db31795059d543fc4b4c0bc69e03aa2200,"[{""page"": 35, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Administrator,"£25,989.00 - £26,403.00 Annually (FTE)",Raunds Park Infant School,"Wellingborough, East Midlands, NN9 6NB",2026-09-02,2026-09-16T23:59:00+01:00,POSS,Possible JobG8 duplicate requires review,POSSIBLE_DUPLICATE,HR Administrator,ACS Recruitment Solutions Ltd,0.725,['PART_TIME'],Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,wellingborough,LIVE,YES,administrator-raunds-park-infant-school-wellingborough-northamptonshire,https://teaching-vacancies.service.gov.uk/jobs/administrator-raunds-park-infant-school-wellingborough-northamptonshire,,,7250e9f6d2f5f1a299ddd10334a09ecddf98b985d5589cdfcda11109e3587328,"[{""page"": 1, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Trust Executive Assistant,"NJC Grade J, points 27 to 31 DOE",Wollaston School,"Wellingborough, East Midlands, NN29 7PH",2026-09-08,2026-09-18T12:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,"['FULL_TIME', 'TEMPORARY']",Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,wellingborough,LIVE,YES,trust-executive-assistant-wollaston-school,https://teaching-vacancies.service.gov.uk/jobs/trust-executive-assistant-wollaston-school,,,b5bc7cae39e478240a34cfa812edc5f833402591f297c0bbc76eaff357e106b0,"[{""page"": 7, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Exams Office Manager,"£31,537.00 - £33,699.00 Annually (FTE)",Bishop Stopford School,"Kettering, East Midlands, NN15 6BJ",2026-09-09,2026-09-23T12:00:00+01:00,HARD_PASS,"Manager title salary ceiling £33,699 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,kettering,LIVE,YES,exams-office-manager-bishop-stopford-school,https://teaching-vacancies.service.gov.uk/jobs/exams-office-manager-bishop-stopford-school,,,f62173e9763fee49866e0a089be10aacb1a8a5851596a5861972025261073836,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,Executive Assistant,"34,237-38,510",Sir Christopher Hatton Academy,"Wellingborough, East Midlands, NN8 4RP",2026-09-14,2026-09-23T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,wellingborough,LIVE,YES,executive-assistant-sir-christopher-hatton-academy,https://teaching-vacancies.service.gov.uk/jobs/executive-assistant-sir-christopher-hatton-academy,,,5aaf033798815e25eed4777b0db90b336442aedd63fd3f30ea85457e65d0ac09,"[{""page"": 24, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance and HR Assistant,"£29,542.00 - £32,046.00 Annually (FTE) The salary quoted is the full time equivalent, this will be pro-rated to contract of 40 weeks and 20 hours per week",Greenfields Specialist School for Communication,"Northampton, East Midlands, NN3 8XS",2026-09-16,2026-09-28T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,northampton,LIVE,YES,finance-and-hr-assistant,https://teaching-vacancies.service.gov.uk/jobs/finance-and-hr-assistant,,,0b33c97ddc316a7cdd2ba3faf20459d2b2e0501152281e1a38ddb88efdf38a15,"[{""page"": 42, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance Officer,"£26,824.00 - £28,598.00 Annually (FTE)",Moulton School and Science College,"Northampton, East Midlands, NN3 7SD",2026-09-10,2026-09-21T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,northampton,LIVE,YES,finance-officer-moulton-school-and-science-college,https://teaching-vacancies.service.gov.uk/jobs/finance-officer-moulton-school-and-science-college,,,718dd02e92aeb0c75046b26782dc04c2d8bca1f8ab54cb3cd854852db768107c,"[{""page"": 16, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,School Business Manager,"£33,699.00 - £37,280.00 Annually (Actual)",South End Infant School,"Rushden, East Midlands, NN10 9JU",2026-09-09,2026-09-23T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £37,280 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,rushden,LIVE,YES,school-business-manager-south-end-infant-school,https://teaching-vacancies.service.gov.uk/jobs/school-business-manager-south-end-infant-school,,,768a53669a0e2c63d5d1b1fec42a7dbaaf56e988c29721dd62b57dfa0d6185d6,"[{""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,School Business Manager,"£44,253.00 - £48,738.00 Annually (FTE)",Woodland View Primary School,"Northampton, East Midlands, NN4 5FZ",2026-09-08,2026-09-25T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £48,738 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Northamptonshire,Northamptonshire,ROUTED,Exact locality match in geo_lookup.xlsx,northampton,LIVE,YES,school-business-manager-woodland-view-primary-school-northampton-northamptonshire,https://teaching-vacancies.service.gov.uk/jobs/school-business-manager-woodland-view-primary-school-northampton-northamptonshire,,,bfe4bdb87a61feda320a091bad82fc5f046f324bca7c3ec68c0366c2343c6bd6,"[{""page"": 35, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
