final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Administration Assistant,"£25,588.00 (actual salary £21,848.22)",Horizons Academy,"Mansfield, East Midlands, NG18 2DP",2026-08-13,2026-09-06T23:59:00+01:00,HC,Clear admin/service title: administration assistant,No plausible JobG8 match,,,,['FULL_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,mansfield,LIVE,YES,administration-assistant-horizons-academy,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-horizons-academy,,,f6f97a59ea42f0840efc57a6e42cc520715530761c895d780beea2269b8b20ba,"[{""page"": 9, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Administrative Assistant,"£24,796.00 - £25,583.00 Annually (FTE) Salary will be paid pro rate based on term time weeks and hours worked",Christ The King Voluntary Academy,"Nottingham, East Midlands, NG5 7JZ",2026-07-21,2026-09-07T23:59:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,nottingham,LIVE,YES,administrative-assistant-6dd3cd8b-9366-40d4-aff9-a0419363ea61,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-6dd3cd8b-9366-40d4-aff9-a0419363ea61,,,fa463f0d606dbdad54230fa82112d93bc5fba363f36f4137f5b619fb1ba69040,"[{""page"": 15, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Administrative Assistant - Sixth Form and Work-Related Learning,"£25,989.00 - £27,254.00 Annually (FTE) Salary will be paid pro rate based on term time weeks and hours worked",Christ The King Voluntary Academy,"Nottingham, East Midlands, NG5 7JZ",2026-08-19,2026-09-07T23:59:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,nottingham,LIVE,YES,administrative-assistant-sixth-form-and-work-related-learning,https://teaching-vacancies.service.gov.uk/jobs/administrative-assistant-sixth-form-and-work-related-learning,,,15a2d66e4b2490795f23fc4f5d57164bc8eafdc7c7cec77821fd7359746ca67f,"[{""page"": 15, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,Attendance Administrator - Secondary Site,"£22,934.00 - £25,229.00 Annually (Actual) GAT 4/5, 37 hours per week, 39 weeks per year",Nottingham Academy,"Nottingham, East Midlands, NG3 7EB",2026-08-25,2026-09-13T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,nottingham,LIVE,YES,attendance-administrator-secondary-site,https://teaching-vacancies.service.gov.uk/jobs/attendance-administrator-secondary-site,,,d4eb222c458d6357f22a1a1d1bf7771149f6aeac84b7f50b8c7d004519a35194,"[{""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Part Time Attendance Administrator - Secondary Site,"£13,946.00 - £15,342.00 Annually (Actual) GAT 4/5, 22.5 hours per week, 39 weeks per year",Nottingham Academy,"Nottingham, East Midlands, NG3 7EB",2026-08-25,2026-09-13T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,nottingham,LIVE,YES,part-time-attendance-administrator-secondary-site,https://teaching-vacancies.service.gov.uk/jobs/part-time-attendance-administrator-secondary-site,,,5500d8768914cfeac03664843c5ad0c84f3d4ed0528f45be1538aa328ca19895,"[{""page"": 6, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Exams Assistant,"Redhill Academy Trust Pay Scale, Band 6, Scale point 29 - 32",South Nottinghamshire Academy,"Nottingham, East Midlands, NG12 2FQ",2026-07-29,2026-09-04T12:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['PART_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,nottingham,LIVE,YES,exams-assistant-south-nottinghamshire-academy,https://teaching-vacancies.service.gov.uk/jobs/exams-assistant-south-nottinghamshire-academy,,,2059b5f28707065dcde8e6a20e0d67d79efdcb20998b8680d0c65534749909e0,"[{""page"": 5, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,House Support Asisstant,"Redhill Academy Trust Pay Scale, Band 6, Scale point 29 - 32",South Nottinghamshire Academy,"Nottingham, East Midlands, NG12 2FQ",2026-07-29,2026-09-04T12:00:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['PART_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,nottingham,LIVE,YES,house-support-asisstant,https://teaching-vacancies.service.gov.uk/jobs/house-support-asisstant,,,e3e5d2ae25c785ab06eb065f9bbf094a44c7c9f65438c997a24f348d0ae16fee,"[{""page"": 4, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Accounts Payable Assistant,"£26,403.00 - £28,142.00 Annually (Actual) GAT-5 52 Weeks Per Year 37 Hours Per Week",Greenwood Academies Trust,"Nottingham, NG3 5LR",2026-07-29,2026-09-23T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,nottingham,LIVE,YES,accounts-payable-assistant-greenwood-academies-trust,https://teaching-vacancies.service.gov.uk/jobs/accounts-payable-assistant-greenwood-academies-trust,,,8932ae38c26e9e6f973468d8965cc65655472449e6a0b0f0bae4ef92512a2f62,"[{""page"": 36, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Administration and Attendance Support,,The Joseph Whitaker School,"Mansfield, East Midlands, NG21 0AG",2026-08-18,2026-09-07T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,mansfield,LIVE,YES,administration-and-attendance-support,https://teaching-vacancies.service.gov.uk/jobs/administration-and-attendance-support,,,220aff6a3dc55fb94f6d6b295fd59fe7d958646f3b890d3b48d2adcb8e561723,"[{""page"": 12, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Assistant Operations Manager,"£27,006.00 - £28,858.00 Annually (Actual) Grade 5: £27,006 - £28,858 actual salary per annum (£31,537 - £33,699 FTE)",The Manor Academy,"Mansfield, East Midlands, NG19 8QA",2026-08-17,2026-09-06T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £33,699 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Nottinghamshire,Nottinghamshire,ROUTED,Exact locality match in geo_lookup.xlsx,mansfield,LIVE,YES,assistant-operations-manager-8e287efa-6467-481b-8c80-56f74d927bdb,https://teaching-vacancies.service.gov.uk/jobs/assistant-operations-manager-8e287efa-6467-481b-8c80-56f74d927bdb,,,e9bdad4a8c64d476edd76e65f04544afdb22296b9574ea0f2bd6e51be33f7c7e,"[{""page"": 9, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
