final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Business Support and Compliance Administrator - Part Time,"[£24,707 FTE]",Yeovil College,"Yeovil, South West, BA21 4DR",2026-09-04,2026-10-04T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,yeovil,LIVE,YES,business-support-and-compliance-administrator-part-time,https://teaching-vacancies.service.gov.uk/jobs/business-support-and-compliance-administrator-part-time,,,005e2f2913b6a10686f74afbdc7b8984e70f702d4a2573125a9b97b7c1fb8a3d,"[{""page"": 40, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 8, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Level 3 Business administrator apprentice,"£10,716.00 Annually (Actual)",Willow Vale School,"Taunton, South West, TA1 2JD",2026-07-15,2026-09-06T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['PART_TIME'],Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,taunton,LIVE,YES,level-3-business-administrator-apprentice,https://teaching-vacancies.service.gov.uk/jobs/level-3-business-administrator-apprentice,,,47d4224a146f4e568934f93d9c35821d69684417cb97bc2f0c8559c6e3b86bd5,"[{""page"": 3, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,People Administrator (Learning and Development),"£27,275 - £29,542. DOE",Pathway Trust,"Weston-Super-Mare, BS22 8XX",2026-08-21,2026-09-08T21:00:59+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,weston super mare,LIVE,YES,people-administrator-learning-and-development,https://teaching-vacancies.service.gov.uk/jobs/people-administrator-learning-and-development,,,6d0f4ee29a73619a08a09351e9965f336c02fa07dcd63188ddf0830139c3deac,"[{""page"": 11, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Data Manager,"£12,046 – 13,138",Kingsmead Academy,"Taunton, South West, TA4 2NE",2026-08-17,2026-09-06T23:59:59+01:00,POSS,"Manager title below £28,000 salary ceiling requires review",No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,taunton,LIVE,YES,data-manager-kingsmead-academy,https://teaching-vacancies.service.gov.uk/jobs/data-manager-kingsmead-academy,,,75a8f2e94a4b9e6fcb6ece1f0cf10c4892803a75b04b96fe99f6daf1eb697699,"[{""page"": 3, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,Senior Office Administrator,Actual Annual Salary,West Monkton Church of England School,"Taunton, South West, TA2 8FT",2026-07-28,2026-09-10T12:00:59+01:00,POSS,Possible JobG8 duplicate requires review,POSSIBLE_DUPLICATE,Office Administrator,Ernest Gordon Recruitment Limited,0.693,['FULL_TIME'],Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,taunton,LIVE,YES,senior-office-administrator-west-monkton-church-of-england-school,https://teaching-vacancies.service.gov.uk/jobs/senior-office-administrator-west-monkton-church-of-england-school,,,01d53c9541cb9974d967e23c0adad87911f62973058bfe7fe5ea66772641ee38,"[{""page"": 14, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 4, ""query"": ""administrator"", ""route"": ""keyword:administrator""}, {""page"": 1, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,Apprentice Workplace Reviewer,"£12,353.50 [FTE £25,707]",Yeovil College,"Yeovil, South West, BA21 4DR",2026-09-04,2026-10-04T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,yeovil,LIVE,YES,apprentice-workplace-reviewer,https://teaching-vacancies.service.gov.uk/jobs/apprentice-workplace-reviewer,,,5e28b89d71339680fc4aefb0961bff30b850093e567a6b98e9b3a3aeb3b3894f,"[{""page"": 40, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Careers Lead,"£28,598 - £32,061",The Castle School,"Taunton, South West, TA1 5AU",2026-08-17,2026-09-07T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,taunton,LIVE,YES,careers-lead-the-castle-school-taunton-somerset,https://teaching-vacancies.service.gov.uk/jobs/careers-lead-the-castle-school-taunton-somerset,,,5913bf741958fab1fa58008946ee3c9227f4b2b11248ce3e3af120326bc0ebc4,"[{""page"": 6, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Primary Assistant Headteacher Behaviour and Personal Development,"Leadership Scale 7-11 (£60,145 - £66,368)",Bridgwater College Academy,"Bridgwater, South West, TA6 4QY",2026-09-04,2026-09-24T23:59:00+01:00,HARD_PASS,"Out-of-scope occupation: teacher, headteacher",No plausible JobG8 match,,,,['FULL_TIME'],Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,bridgwater,LIVE,YES,primary-assistant-headteacher-behaviour-and-personal-development,https://teaching-vacancies.service.gov.uk/jobs/primary-assistant-headteacher-behaviour-and-personal-development,,,961dccdca93a02a6dcfdf23681599e65ab1ab17508cde1b166825e0c83724eb6,"[{""page"": 2, ""query"": ""personal assistant"", ""route"": ""keyword:personal assistant""}]",Teaching Vacancies
HARD_PASS,Project and Executive Support Officer - Part Time,"£24,709 [FTE £30,992]",Yeovil College,"Yeovil, South West, BA21 4DR",2026-09-04,2026-10-04T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,yeovil,LIVE,YES,project-and-executive-support-officer-part-time,https://teaching-vacancies.service.gov.uk/jobs/project-and-executive-support-officer-part-time,,,92ab8fb85e27ff7c51e3271a2e19045a9de5c40ea2f4297264afef251ea61f55,"[{""page"": 40, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Systems Analyst,"Starting salary £45,530 FTE",Pathway Trust,"Weston-Super-Mare, BS22 8XX",2026-08-26,2026-09-14T09:00:59+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Somerset,Somerset,ROUTED,Exact locality match in geo_lookup.xlsx,weston super mare,LIVE,YES,systems-analyst-pathway-trust,https://teaching-vacancies.service.gov.uk/jobs/systems-analyst-pathway-trust,,,57c7f93b2c401a3e3ef871d5e2e6f54dfdd25f322e8fc729a9004a59c5ec6e7d,"[{""page"": 24, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
