final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Admin & Clerical Officer Level 2 Rowan School,Grade 4 (£26403 - £28598 pro rata),The Rowan School,"Sheffield, Yorkshire and the Humber, S17 3PT",2026-07-24,2026-09-15T12:00:00+01:00,HC,Clear admin/service title: admin clerical officer,No plausible JobG8 match,,,,['FULL_TIME'],Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,sheffield,LIVE,YES,admin-clerical-officer-level-2-rowan-school,https://teaching-vacancies.service.gov.uk/jobs/admin-clerical-officer-level-2-rowan-school,,,b5b168a56f468ff6d306348bd1d72f085a0a5694ec6df76fecb7a61b753147a9,"[{""page"": 30, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Permanent Admin Assistant,"£25,583 to £25,989",Wybourn Community Primary & Nursery School,"Sheffield, Yorkshire and the Humber, S2 5ED",2026-09-01,2026-09-14T09:00:00+01:00,HC,Clear admin/service title: admin assistant,No plausible JobG8 match,,,,['PART_TIME'],Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,sheffield,LIVE,YES,permanent-admin-assistant,https://teaching-vacancies.service.gov.uk/jobs/permanent-admin-assistant,,,716e026a27d2141cec9a203dc8f3bd1be8acabf09583ecbdcbb928dbe4e3e733,"[{""page"": 26, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,SEND Administrator,"£23,199.00 - £23,315.00 Annually (Actual) Band D Points 6 - 7. Based on full time salary of £26,340 - £26,472 - pay award pending. (plus an additional 1 week of pay if the appointee has 5 years or more continuous service with the Local Authority)",Aston Academy,"Sheffield, Yorkshire and the Humber, S26 4SF",2026-07-10,2026-09-10T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,sheffield,LIVE,YES,send-administrator-aston-academy-sheffield-south-yorkshire,https://teaching-vacancies.service.gov.uk/jobs/send-administrator-aston-academy-sheffield-south-yorkshire,,,8c25e78117088af14bae10bc184a17ad1818a771403b5ae5bbec716c55d287f1,"[{""page"": 20, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 5, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
SELECTED,Senior Administrator Higher Education,"£29,335.91 - £34,234.26",The Sheffield College,"Sheffield, Yorkshire and the Humber, S2 2RL",2026-09-03,2026-09-06T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,sheffield,LIVE,YES,senior-administrator-higher-education,https://teaching-vacancies.service.gov.uk/jobs/senior-administrator-higher-education,,,f687a392594a7f82bb529499af8023a3feda50da1bf7d6ada7f8850b7bba3dbd,"[{""page"": 7, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
POSS,Estates and Compliance Coordinator,"£25,583.00 - £25,989.00 Annually (Actual)",Hcat,"Barnsley, S75 3SP",2026-08-24,2026-09-11T23:59:00+01:00,POSS,Administrative duties evidenced in description,No plausible JobG8 match,,,,['FULL_TIME'],Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,barnsley,LIVE,YES,estates-and-compliance-coordinator,https://teaching-vacancies.service.gov.uk/jobs/estates-and-compliance-coordinator,,,81a8edc39337a9d3ce0dc1db7b64d6b2a891488d95271700ea05e77a8331bfb7,"[{""page"": 23, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Administration Assistant and Receptionist,,King Edward VII School,"Sheffield, Yorkshire and the Humber, S10 2PW",2026-07-16,2026-09-04T09:00:00+01:00,HARD_PASS,Missing salary or pay scale,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,sheffield,LIVE,YES,administration-assistant-and-receptionist-king-edward-vii-school-sheffield-south-yorkshire,https://teaching-vacancies.service.gov.uk/jobs/administration-assistant-and-receptionist-king-edward-vii-school-sheffield-south-yorkshire,,,f05f5b5620e2086b8b92881d4ae44af58953c0ab2ed8bf162ff77662db723884,"[{""page"": 2, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""receptionist"", ""route"": ""keyword:receptionist""}]",Teaching Vacancies
HARD_PASS,Attendance and Admissions Manager,"£38,220.00 - £41,771.00 Annually (FTE) Grade 7 SCP 27 to 31 (Actual salary £33,717 - £36,850)",Westfield School,"Sheffield, Yorkshire and the Humber, S20 1HQ",2026-08-19,2026-09-13T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £41,771 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,sheffield,LIVE,YES,attendance-and-admissions-manager-westfield-school-sheffield,https://teaching-vacancies.service.gov.uk/jobs/attendance-and-admissions-manager-westfield-school-sheffield,,,4cc888ba310fbad5f2be9b87be3abe5c48fe0939ba4f0d5a04caec0d9c738e0c,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Business Support Manager,"£36,246 - £39,614 per annum (pending NJC Pay award)",Beck Primary School,"Sheffield, Yorkshire and the Humber, S5 0GG",2026-07-16,2026-09-10T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £39,614 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,sheffield,LIVE,YES,business-support-manager-beck-primary-school,https://teaching-vacancies.service.gov.uk/jobs/business-support-manager-beck-primary-school,,,c88cc7bd7ba850d5c1269aaf61d30932a98e688fd08c92990eb7f0b13899544e,"[{""page"": 20, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Business Support Manager,"£36,246 - £39,614 per annum (pending NJC Pay award)",Whiteways Primary School,"Sheffield, Yorkshire and the Humber, S4 8EX",2026-09-03,2026-09-10T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £39,614 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,sheffield,LIVE,YES,business-support-manager-whiteways-primary-school,https://teaching-vacancies.service.gov.uk/jobs/business-support-manager-whiteways-primary-school,,,a76f2c97a4534c7f787dc961e882ca8f6e8ee48111d9665023bad1c897946957,"[{""page"": 20, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Chief Financial Officer,"£80,000.00 - £90,000.00 Annually (Actual)",St Clare Catholic Multi Academy Trust,"Sheffield, S9 3WU",2026-08-04,2026-10-06T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Yorkshire - South,Yorkshire - South,ROUTED,Exact locality match in geo_lookup.xlsx,sheffield,LIVE,YES,chief-financial-officer-st-clare-catholic-multi-academy-trust,https://teaching-vacancies.service.gov.uk/jobs/chief-financial-officer-st-clare-catholic-multi-academy-trust,,,78c77f7af39060c16d56351f1b273d636f04ec09322b37f24d18a8bc0b8b15d4,"[{""page"": 39, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
