final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Examinations Officer,"£33,675.00 - £36,834.00 Annually (Actual)",Farlingaye High School,"Woodbridge, East of England, IP12 4JX",2026-08-31,2026-09-21T09:00:00+01:00,HC,Clear admin/service title: examinations officer,No plausible JobG8 match,,,,['PART_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,woodbridge,LIVE,YES,examinations-officer-farlingaye-high-school,https://teaching-vacancies.service.gov.uk/jobs/examinations-officer-farlingaye-high-school,,,1aaa84681556895d18d0d45059aa734c15eb2505b65cecf2bff2c7d22e198a6c,"[{""page"": 10, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,SENDCo Admin Assistant,"£26,224.00 - £26,847.00 Annually (FTE) ALT Grade D £22,456.02 - £22,989.50 Annually Actual",Hillside Primary School,"Ipswich, East of England, IP2 8NU",2026-09-08,2026-09-21T12:00:00+01:00,HC,Clear admin/service title: admin assistant,No plausible JobG8 match,,,,['FULL_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,ipswich,LIVE,YES,sendco-admin-assistant-hillside-primary-school-ipswich-suffolk,https://teaching-vacancies.service.gov.uk/jobs/sendco-admin-assistant-hillside-primary-school-ipswich-suffolk,,,14eedeab1b99704cb95b64ebbcbc7e13d014816e66c64587c8fa7ebe759cb221,"[{""page"": 16, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
POSS,Operations Officer,"£30,308 to £32,385 actual pa",Glade Academy,"Brandon, East of England, IP27 0DA",2026-09-08,2026-09-30T23:59:00+01:00,POSS,Borderline school administration title: operations officer,No plausible JobG8 match,,,,['FULL_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,brandon,LIVE,YES,operations-officer-glade-academy,https://teaching-vacancies.service.gov.uk/jobs/operations-officer-glade-academy,,,8b3bf8eae91e1e709af7cf5f700f3b10a5b7a2efd4894e4c91611bf9cc4ced26,"[{""page"": 48, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Admissions and Review Officer,"£32,598 per annum - £36,363 per annum (Dependent on qualifications and experience)",Eastern Education Group Trust,"Bury St. Edmunds, IP33 3RL",2026-09-17,2026-09-29T08:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,bury st edmunds,LIVE,YES,admissions-and-review-officer-eastern-education-group-trust,https://teaching-vacancies.service.gov.uk/jobs/admissions-and-review-officer-eastern-education-group-trust,,,16c1687f76e183eeba7157d4c2160a35758001b72a0cae7b57eddced77d3583d,"[{""page"": 44, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Curriculum and Reception Assistant,"£27,274.00 - £29,071.00 Annually (FTE) The pro rata salary (30 hours, 39 weeks) is £18, 854.25 - £20,096.49",Kesgrave High School,"Ipswich, East of England, IP5 2PB",2026-09-09,2026-09-24T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,ipswich,LIVE,YES,curriculum-and-reception-assistant,https://teaching-vacancies.service.gov.uk/jobs/curriculum-and-reception-assistant,,,f39b53da8171eae736aa388f733d1069722c41a353e9702472be770c448ff3ad,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Data Manager,"£31,015.00 - £34,811.00 Annually (FTE) Actual pro-rata salary - £14,293 - £16,043",Holbrook Academy,"Ipswich, East of England, IP9 2QX",2026-09-09,2026-09-28T23:59:00+01:00,HARD_PASS,"Manager title salary ceiling £34,811 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,ipswich,LIVE,YES,data-manager-holbrook-academy,https://teaching-vacancies.service.gov.uk/jobs/data-manager-holbrook-academy,,,02723fd4cfc58eab1ca5db1f4f776617e192e3184988d6c90b205112303ab63a,"[{""page"": 43, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,HR Assistant,"£28,598 - £31,022 per annum",Piper's Vale Primary - A Paradigm Academy,"Ipswich, East of England, IP3 0EW",2026-08-28,2026-09-21T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,ipswich,LIVE,YES,hr-assistant-36698a9b-d2c8-4253-91ee-aefbeab6f899,https://teaching-vacancies.service.gov.uk/jobs/hr-assistant-36698a9b-d2c8-4253-91ee-aefbeab6f899,,,6bac5b97ceefae0692f0f76f2b73c072d60d9b73ec0a49138be182e31c8069f0,"[{""page"": 12, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,HR Assistant Apprentice,"£22,878 per annum",Piper's Vale Primary - A Paradigm Academy,"Ipswich, East of England, IP3 0EW",2026-08-28,2026-09-21T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,"['FULL_TIME', 'TEMPORARY']",Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,ipswich,LIVE,YES,hr-assistant-apprentice-piper-s-vale-primary-a-paradigm-academy-ipswich-suffolk,https://teaching-vacancies.service.gov.uk/jobs/hr-assistant-apprentice-piper-s-vale-primary-a-paradigm-academy-ipswich-suffolk,,,9a73838ab6dd4beb7e0357be47be965d3a1e8cfc16a84eb54f2631678d9daf26,"[{""page"": 12, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Office Manager and Exams Officer,"£27,736 - £30,643 actual pa, £30,024- £32,597 FTE",Stradbroke High School,"Eye, East of England, IP21 5JN",2026-09-08,2026-09-30T01:00:00+01:00,HARD_PASS,"Manager title salary ceiling £32,597 is not below £28,000",No plausible JobG8 match,,,,['FULL_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,eye,LIVE,YES,office-manager-and-exams-officer,https://teaching-vacancies.service.gov.uk/jobs/office-manager-and-exams-officer,,,1b24bd43c4a47bd6472e9384d2f215fca4ae08d79cf84d884b46bf1f4f1a9c8d,"[{""page"": 45, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 2, ""query"": ""exams officer"", ""route"": ""keyword:exams officer""}, {""page"": 4, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
HARD_PASS,Training and Development Lead,"£32,598 - £36,363 per annum (Dependent on qualifications and experience)",Eastern Education Group Trust,"Bury St. Edmunds, IP33 3RL",2026-09-14,2026-09-25T08:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,bury st edmunds,LIVE,YES,training-and-development-lead-1c8d3225-0446-4fe7-beb0-048e224f5e3e,https://teaching-vacancies.service.gov.uk/jobs/training-and-development-lead-1c8d3225-0446-4fe7-beb0-048e224f5e3e,,,89d267338dac88358d08524fe61ffbd8c40c7bf1eb5605cf1876075c3d16d8d0,"[{""page"": 27, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Trust Attendance Lead,"Grade 7 SP 30-35, (£47,643 - £53,182 per annum)",Unity Schools Partnership,"Haverhill, CB9 8QP",2026-09-10,2026-09-21T09:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Suffolk,Suffolk,ROUTED,Exact locality match in geo_lookup.xlsx,haverhill,LIVE,YES,trust-attendance-lead-unity-schools-partnership,https://teaching-vacancies.service.gov.uk/jobs/trust-attendance-lead-unity-schools-partnership,,,67ad0a74b8149a95cf7cbdfa847d704a4c440ee6ab59e6f465c1d892af30cb5b,"[{""page"": 9, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
