final_decision,title,salary_text,employer,location,posted_date,closing_date,classification,classification_reason,jobg8_check,jobg8_candidate_title,jobg8_candidate_employer,jobg8_match_score,employment_type,ontap_region,geo_cluster,geography_status,geography_reason,geography_lookup_key,slice_status,publish_eligible,source_job_id,source_url,manual_action,migration_status,factual_fingerprint,discovery_routes,source
SELECTED,Attendance and Admissions Officer,"Specialist - £28,009 FTE (Actual - £16,733.32)",Danetree Primary School,"Epsom, South East, KT19 9SE",2026-09-21,2026-10-05T09:30:59+01:00,HC,Clear admin/service title: admissions officer,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Surrey,Surrey,ROUTED,Exact locality match in geo_lookup.xlsx,epsom,LIVE,YES,attendance-and-admissions-officer-65b72427-5324-4164-8260-a853358c3381,https://teaching-vacancies.service.gov.uk/jobs/attendance-and-admissions-officer-65b72427-5324-4164-8260-a853358c3381,,,9666f46c5f5115472682d1a7b3b8c56c30e7ff689b6b9a2b0edd4fca5bb049f4,"[{""page"": 34, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
SELECTED,Office Assistant (Part time),"Associate 2.1-16 (£7,610.33 - £8,081.07 - Actual)",The Vale Primary School and Nursery,"Epsom, South East, KT18 6HP",2026-09-22,2026-10-06T09:30:59+01:00,HC,Clear admin/service title: office assistant,No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Surrey,Surrey,ROUTED,Exact locality match in geo_lookup.xlsx,epsom,LIVE,YES,office-assistant-part-time-the-vale-primary-school-and-nursery,https://teaching-vacancies.service.gov.uk/jobs/office-assistant-part-time-the-vale-primary-school-and-nursery,,,aea6f75ece26362ac5ad68353c03885db6ce7ebf56268664a5bbe0a12e743b83,"[{""page"": 39, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 3, ""query"": ""office"", ""route"": ""keyword:office""}]",Teaching Vacancies
SELECTED,Safeguarding and SEND Administrative Assistant,"£25,111.00 - £27,318.00 Annually (FTE) P4 - £11,943 - £12,993pa (actual)",Eastwick Infant School,"Leatherhead, South East, KT23 3PP",2026-07-02,2026-09-28T23:59:00+01:00,HC,Clear admin/service title: administrative assistant,No plausible JobG8 match,,,,['PART_TIME'],Surrey,Surrey,ROUTED,Exact locality match in geo_lookup.xlsx,leatherhead,LIVE,YES,safeguarding-and-send-administrative-assistant-eastwick-infant-school,https://teaching-vacancies.service.gov.uk/jobs/safeguarding-and-send-administrative-assistant-eastwick-infant-school,,,75b2acd183694df85fbada9f86d187312d4935673006f0ef239a7d4784f187c0,"[{""page"": 10, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 1, ""query"": ""administrative"", ""route"": ""keyword:administrative""}]",Teaching Vacancies
SELECTED,SEN Administrator,"S3, scale points 20.1 – 23, depending on experience. FTE: £28,637 - £30,484; Actual: £23,840.67 - £25,378.32",St Dominic's School,"Godalming, South East, GU8 4DX",2026-09-21,2026-10-11T23:59:00+01:00,HC,Clear admin/service title: administrator,No plausible JobG8 match,,,,['FULL_TIME'],Surrey,Surrey,ROUTED,Exact locality match in geo_lookup.xlsx,godalming,LIVE,YES,sen-administrator-a73e2173-5c60-48da-8b9b-ca0b2be7c7a6,https://teaching-vacancies.service.gov.uk/jobs/sen-administrator-a73e2173-5c60-48da-8b9b-ca0b2be7c7a6,,,3cec59438802a50c87440ad40eeef4c93d914a6680f9d7ac0b30afceb86b1849,"[{""page"": 49, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}, {""page"": 12, ""query"": ""administrator"", ""route"": ""keyword:administrator""}]",Teaching Vacancies
HARD_PASS,Admissions Advisor,"£12,865 to £13,408 (pro rated)",North East Surrey College of Technology,"Epsom, South East, KT17 3DS",2026-09-25,2026-10-21T23:59:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Surrey,Surrey,ROUTED,Exact locality match in geo_lookup.xlsx,epsom,LIVE,YES,admissions-advisor,https://teaching-vacancies.service.gov.uk/jobs/admissions-advisor,,,d9976a562e4e3c5e45b0ab17aacb4ef36a9836ccdc0504ed332beb6140a1d558,"[{""page"": 58, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Finance Business Partner,"£35,281.99 Annually (Actual) FTE range is £38090 to £42957",The Swan Trust,"Surrey, GU21 3RG",2026-09-08,2026-11-02T10:00:00+00:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Surrey,Surrey,ROUTED,Exact locality match in geo_lookup.xlsx,surrey,LIVE,YES,finance-business-partner-the-swan-trust-surrey-not-recorded,https://teaching-vacancies.service.gov.uk/jobs/finance-business-partner-the-swan-trust-surrey-not-recorded,,,6dcdbf3155466c274bbf2fc99a8ad06aa2d7e53d95c7137ee8f3dcb0de44427d,"[{""page"": 59, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Operations Manager,"£34,660.00 - £36,943.00 Annually (FTE) £26,759 - £28,522 pro rata",Yattendon School,"Horley, South East, RH6 7BZ",2026-09-10,2026-09-28T09:00:00+01:00,HARD_PASS,"Manager title salary ceiling £36,943 is not below £28,000",No plausible JobG8 match,,,,['PART_TIME'],Surrey,Surrey,ROUTED,Exact locality match in geo_lookup.xlsx,horley,LIVE,YES,operations-manager-yattendon-school,https://teaching-vacancies.service.gov.uk/jobs/operations-manager-yattendon-school,,,bb81460f78bc4199d9b340c0f09738695c4a9754f9caacdd33da8b20f43d98fd,"[{""page"": 7, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Regional Finance Manager,"Senior Specialist - £28,167.37",The Beacon School,"Banstead, South East, SM7 1AG",2026-09-24,2026-10-05T23:59:59+01:00,HARD_PASS,"Manager title salary ceiling £28,167 is not below £28,000",No plausible JobG8 match,,,,"['FULL_TIME', 'PART_TIME']",Surrey,Surrey,ROUTED,Exact locality match in geo_lookup.xlsx,banstead,LIVE,YES,regional-finance-manager-06cafd15-1ee6-4d43-9137-043ba72063ed,https://teaching-vacancies.service.gov.uk/jobs/regional-finance-manager-06cafd15-1ee6-4d43-9137-043ba72063ed,,,9e2f8f41eef71c7f27f8cb9c5ec1d2b7435e66f19f64beb50988c9247cd3c9ec,"[{""page"": 38, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Regional Finance Partner,"Leadership 2- £60,000 FTE",The Beacon School,"Banstead, South East, SM7 1AG",2026-09-22,2026-10-04T23:59:59+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['FULL_TIME'],Surrey,Surrey,ROUTED,Exact locality match in geo_lookup.xlsx,banstead,LIVE,YES,regional-finance-partner-the-beacon-school,https://teaching-vacancies.service.gov.uk/jobs/regional-finance-partner-the-beacon-school,,,d1753caf68452b11e5c14099c5a898cb093fd33e0c80f7fc968aa6c5b57878c6,"[{""page"": 30, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
HARD_PASS,Trust Estates Facilities & Compliance Coordinator,"£32,609.00 Annually (FTE) £22,645 Pro rata (based on 52 weeks)",The Kite Academy Trust,"Ash Vale, GU12 5PX",2026-09-11,2026-10-02T12:00:00+01:00,HARD_PASS,Insufficient admin/service evidence,No plausible JobG8 match,,,,['PART_TIME'],Surrey,Surrey,ROUTED,Exact postcode match in geo_lookup.xlsx,gu12 5px,LIVE,YES,trust-estates-facilities-compliance-coordinator,https://teaching-vacancies.service.gov.uk/jobs/trust-estates-facilities-compliance-coordinator,,,95e1454a2b320629f046a18f48f1c28eee70ad23d7ac9df67b761067fe169b72,"[{""page"": 25, ""query"": ""Administration, HR, data and finance"", ""route"": ""administration-category""}]",Teaching Vacancies
