source_job_id,old_action,migration_status,detail
academy-administrator-l3-dixons-cottingley-academy,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
administrative-assistant-pudsey-grammar-school-pudsey-west-yorkshire,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
exams-officer-bingley-grammar-school,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
receptionist-administrator-49a47934-628e-47bf-b7a9-6fe782d91f05,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
receptionist-the-king-s-school-pontefract-west-yorkshire,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
school-office-administrator-askwith-primary-school,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
school-receptionist-cross-gates-primary-school,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
send-exam-access-arrangements-administrator,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
senior-administrator-7fec00a6-6291-458b-a988-c2f3718b159b,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
senior-administrator-fountain-primary-school-leeds-west-yorkshire,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
specialist-administrator-send-medical-lead-first-aid,,NOT_CURRENT,"Expired, closed, no longer discovered or routed elsewhere"
academy-administrator-level-2-dixons-unity-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
administration-assistant-buttershaw-business-enterprise-college-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
administration-assistant-copthorne-primary-school,,NEW_REVIEW,New regional vacancy or newly reviewable record
administration-assistant-send-bruntcliffe-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
administration-officer-the-brooksbank-school-elland-west-yorkshire,,NEW_REVIEW,New regional vacancy or newly reviewable record
administrative-assistant-operations,,NEW_REVIEW,New regional vacancy or newly reviewable record
administrator-carlton-bolling-bradford-west-yorkshire,,NEW_REVIEW,New regional vacancy or newly reviewable record
administrator-oulton-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
apprentice-admin-assistant-level-2-full-time,,NEW_REVIEW,New regional vacancy or newly reviewable record
apprentice-admin-assistant-level-2-part-time,,NEW_REVIEW,New regional vacancy or newly reviewable record
assistant-senco-fdb10c11-75c5-458b-8d4c-5aa13619d9cc,,NEW_REVIEW,New regional vacancy or newly reviewable record
attendance-support-bradford-forster-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
business-support-officer-part-time,,NEW_REVIEW,New regional vacancy or newly reviewable record
business-support-officer-spring-grove-junior-infant-and-nursery-school-huddersfield-west-yorkshire,,NEW_REVIEW,New regional vacancy or newly reviewable record
clerical-assistant-receptionist-townville-academy-castleford-west-yorkshire,,NEW_REVIEW,New regional vacancy or newly reviewable record
cover-hr-administrator,,NEW_REVIEW,New regional vacancy or newly reviewable record
data-and-exams-administrator-moor-end-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
data-and-exams-manager-dixons-city-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
data-assessment-and-mis-officer-crofton-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
data-manager-buttershaw-business-enterprise-college-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
deputy-pa-receptionist-bradford-diocesan-academies-trust-bradford-not-recorded,,NEW_REVIEW,New regional vacancy or newly reviewable record
exam-invigilator-leeds-city-academy-leeds-west-yorkshire,,NEW_REVIEW,New regional vacancy or newly reviewable record
family-liaison-officer-buttershaw-business-enterprise-college-academy-bradford-west-yorkshire,,NEW_REVIEW,New regional vacancy or newly reviewable record
finance-assistant-e059f5dd-58bc-43a9-9bb0-dfae96e79d4e,,NEW_REVIEW,New regional vacancy or newly reviewable record
finance-manager-core-team,,NEW_REVIEW,New regional vacancy or newly reviewable record
finance-manager-learning-accord-multi-academy-trust,,NEW_REVIEW,New regional vacancy or newly reviewable record
finance-officer-greengates-primary-academy-bradford-west-yorkshire,,NEW_REVIEW,New regional vacancy or newly reviewable record
head-of-year-assistant,,NEW_REVIEW,New regional vacancy or newly reviewable record
hr-advisor-central-team,,NEW_REVIEW,New regional vacancy or newly reviewable record
human-resources-business-partner-central-hr-team-the-gorse-academies-trust-leeds-not-recorded,,NEW_REVIEW,New regional vacancy or newly reviewable record
learning-manager-72444972-2891-4ebf-9d5f-a8c7dd7aed3d,,NEW_REVIEW,New regional vacancy or newly reviewable record
office-administrator-st-oswald-s-church-of-england-primary-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
operations-lead-menston-primary-school-ilkley-west-yorkshire,,NEW_REVIEW,New regional vacancy or newly reviewable record
post-16-administrator-immanuel-college,,NEW_REVIEW,New regional vacancy or newly reviewable record
receptionist-and-administration-assistant-leeds-east-academy,,NEW_REVIEW,New regional vacancy or newly reviewable record
receptionist-delta-academies-trust-knottingley-not-recorded,,NEW_REVIEW,New regional vacancy or newly reviewable record
send-administrator-oastlers-school,,NEW_REVIEW,New regional vacancy or newly reviewable record
senior-administrator-linthwaite-clough-primary-school,,NEW_REVIEW,New regional vacancy or newly reviewable record
senior-finance-officer-impact-education-multi-academy-trust,,NEW_REVIEW,New regional vacancy or newly reviewable record
trust-administration-assistant-waterton-academy-trust,,NEW_REVIEW,New regional vacancy or newly reviewable record
