feed_date,decision,region,title,town,salary_text,manual_override,manual_select,job_id
2026-08-24,SELECTED,Yorkshire - West,Healthcare Assistant,Bradford,"£13.75 - £14.5 per hour (Including holiday pay, flexible hours)",,,23643_225476096
2026-08-24,SELECTED,Yorkshire - West,Residential Support Worker,Wakefield,£30000 per year,,,107881525
2026-08-24,SELECTED,Yorkshire - South,Residential Child Care Worker,Barnsley,£24000 per year,,,107881537
2026-08-24,SELECTED,North East - County Durham & Darlington/Hartlepool,Young Person Support Worker,Durham,£17 - £20 per hour,,,23643_225493355
2026-08-24,SELECTED,Sussex,Personal Assistant - education sector,Brighton,£25000 - £28000 per year,,,23643_225427103
2026-08-24,SELECTED,Sussex,Personal Assistant to the Directors,Bognor Regis,£30000 - £35000 per year ((DOE)),,,23643_225445462
2026-08-24,SELECTED,Sussex,Support Worker,Brighton,£14 - £16 per hour,,,23643_222307132
2026-08-24,SELECTED,Sussex,Residential Childcare Support Worker (Casual),Horsham,£13.05 per hour,,,107811772
2026-08-24,SELECTED,Sussex,Care Assistant,Bexhill-on-sea,£13.79 per hour,,,107864483
2026-08-24,SELECTED,Sussex,Care Assistant - Bank,Hailsham,£13.39 per hour,,,107870957
2026-08-24,SELECTED,Cumbria - South,Relief Support Worker,Ulverston,£12.85 per hour,,,107812778
2026-08-24,SELECTED,Cumbria - South,Childrens Residential Support Worker,Kirkby Stephen,£30000 per year,,,107870592
2026-08-24,SELECTED,Cumbria - South,Childrens Residential Support Worker,Appleby-in-westmorland,£30000 per year,,,107870593
2026-08-24,SELECTED,Hampshire,Secure Children's Home Support Worker,Eastleigh,"£32780 - £35564 per year (Market Supplement, plus Enhancements)",,,1401784261
2026-08-24,SELECTED,Hampshire,Children's Home Support Worker,Fareham,£27780 - £30564 per year,,,1401784414
2026-08-24,SELECTED,Hampshire,Care Assistant (Older Adults),Emsworth,£25186 - £26244 per year,,,1401784339
2026-08-24,SELECTED,Hampshire,Care Assistant,Alton,£25186 - £26244 per year (plus Market Supplement),,,1401784493
2026-08-24,SELECTED,Hampshire,Day Opportunities Support Worker,Alton,£25186 - £26244 per year,,,1401784594
2026-08-24,SELECTED,Hampshire,Night Care Assistant (Adults),Basingstoke,£25186 - £26244 per year,,,1401784687
2026-08-24,SELECTED,Hampshire,Accommodation Support Worker,Southampton,"£25,947 - £26,305 per annum",,,1674633
2026-08-24,SELECTED,Hampshire,Graduate Opportunity: Hourly Personal Care Assistant,Petersfield,£16 per hour,,,107769099
2026-08-24,SELECTED,Hampshire,Domiciliary Care Assistant,Alton,£14 - £15 per hour (Excellent Pay),,,107332363
2026-08-24,SELECTED,Hampshire,Secure Childrens Home Support Worker (Weekends),Southampton,£27780 - £30564 per year,,,1401784780
2026-08-24,SELECTED,Hampshire,Children's Homes Support Worker,Romsey,£27780 - £30564 per year,,,1401784767
2026-08-24,SELECTED,Hampshire,Residential Support Worker,Farnborough,£12.8 per hour ((depending on experience and qualifications)),,,107856573
2026-08-24,SELECTED,Hampshire,Waking Night Childrens Home Support Worker,Romsey,"£27780 - £30564 per year (), plus Market Supplement of £3,000 pro-rata, per annum and enhancemen)",,,1401784682
2026-08-24,SELECTED,Hampshire,Care Assistant,Havant,£25186 - £26244 per year,,,1401784679
2026-08-24,SELECTED,Hampshire,Family Support Worker/Hampshire/ &;15-18 p/h.,Southampton,£15 - £18 per hour,,,1778648
2026-08-24,SELECTED,London,Specialist Behavioural Support Worker,London,"£31,116.80 per annum",,,1621461
2026-08-24,SELECTED,London,Healthcare Assistant,City,"£13.75 - £14.5 per hour (Including holiday pay, flexible hours)",,,23643_225476071
2026-08-24,SELECTED,London,Care Assistant,London,£12.82 per hour,,,23643_223283749
2026-08-24,SELECTED,London,Waking Night Support Worker,London,"£23,088.00 per annum",,,1664745
2026-08-24,SELECTED,London,Behaviour Support Assistant,Wandsworth,£95 - £115 per daily,,,23643_225513634
2026-08-24,SELECTED,London,Support Worker,London,£85 - £105 per daily (Excellent training and Career progression),,,23643_225516212
2026-08-24,SELECTED,London,Support Worker,London,£14.80 per hour,,,1780022
2026-08-24,SELECTED,London,Care Assistant Days,London,£13.85 per hour,,,1778477
2026-08-24,SELECTED,London,Residential Support Worker (Mental Health),City,"£26,229 per annum",,,1787859
2026-08-24,POSS - LONDON,London,Temp Personal Assistant,London,£25.52 per hour,,,1786559
2026-08-24,POSS - LONDON,London,Communication Support Worker,Carshalton,£35 per hour,,,1785508
2026-08-24,POSS - LONDON,London,Communication Support Worker,Morden,£35 per hour,,,1785507
2026-08-24,SELECTED,Surrey,Residential Childcare Support Worker (Casual),Guildford,£13.05 per hour,,,107776110
2026-08-24,SELECTED,Surrey,Support Care Workers - Camberley,Camberley,£14 - £18 per hour,,,23643_225134809
2026-08-24,SELECTED,Surrey,Family Support Worker,Addlestone,£28687 - £32786 per year ((FTE)),,,328187
2026-08-24,SELECTED,Surrey,Children's Support Worker,Haslemere,£14 - £15 per hour,,,107741924
2026-08-24,SELECTED,Surrey,Specialist Academic Support Worker,Farnham,£13.00 per hour,,,1692926
2026-08-24,SELECTED,Wiltshire,ASD Support Worker,Calne,£90 - £105 per daily,,,107742510
2026-08-24,SELECTED,Wiltshire,Mental Health Support Worker,Trowbridge,£85 - £110 per daily,,,1693230
2026-08-24,SELECTED,Wiltshire,Autism Support Worker,Chippenham,£85 - £110 per daily,,,1693131
2026-08-24,SELECTED,Wiltshire,Female BSW Crisis House Peer Support Worker,Swindon,"£26,227 per annum",,,1787836
